data_year,property_id,incident_id,prop_loss_id,stolen_count,recovered_count
2021,136532102,135293955,4,,
2021,136532104,135289768,4,,
2021,136532107,135289789,5,,1
2021,136532111,135289789,7,1,
2021,136532114,135289793,4,,
2021,136532101,135289794,7,,
2021,136532122,135289790,6,,
2021,136532127,135289816,7,,
2021,137288350,136128218,7,,
2021,136527545,135289810,7,,
2021,136527564,135293997,7,,
2021,136527533,135289785,5,,
2021,136532119,135289785,7,,
2021,136527551,135293986,5,,1
2021,136532135,135293986,7,1,
2021,136527530,135293965,7,,
2021,136527528,135289782,7,,
2021,136532142,135293996,7,,
2021,136532215,135289882,7,,
2021,136532133,135289808,7,1,
2021,136532130,135289808,5,,1
2021,137288370,136119885,7,,
2021,136527576,135289821,7,,
2021,136527556,135289806,7,,
2021,136532138,135289806,5,,
2021,136532200,135294052,7,,
2021,136532195,135289860,4,,
2021,136532148,135289815,5,,1
2021,136532151,135289815,7,1,
2021,136532161,135294011,4,,
2021,142948988,142702738,7,1,
2021,136527580,135289859,7,,
2021,137278815,136128239,7,,
2021,136532184,135294034,6,,
2021,136532187,135294037,7,,
2021,136532172,135289844,7,,
2021,142972665,142731474,6,,
2021,136532190,135294051,7,,
2021,136527610,135294082,7,,
2021,136532229,135294098,7,1,
2021,146075045,146330797,5,,
2021,146075046,146330797,7,,
2021,137278820,136128246,5,,
2021,137288373,136128246,7,,
2021,136527601,135289850,7,,
2021,137278812,136128241,5,,1
2021,137288366,136128241,7,1,
2021,136532223,135294071,7,,
2021,137288395,136119907,7,,
2021,139163163,138287348,7,,
2021,136532220,135294077,7,,
2021,137278823,136128256,7,,
2021,137288393,136128265,7,,
2021,137278832,136128270,4,,
2021,137288405,136119908,6,,
2021,137278833,136128266,4,,
2021,137288396,136119903,7,,
2021,137278844,136128303,7,1,
2021,137288404,136128276,7,,
2021,137288402,136128276,5,,
2021,137288401,136128275,7,,
2021,137288417,136128291,6,,
2021,137288420,136128293,7,,
2021,137288418,136128289,1,,
2021,137278836,136128279,7,,
2021,142109568,141722100,4,,
2021,137288409,136128285,4,,
2021,137278839,136128290,4,,
2021,137288410,136128283,4,,
2021,137288411,136119909,4,,
2021,137278845,136128300,4,,
2021,137288425,136128299,4,,
2021,137288423,136128296,4,,
2021,137288426,136119917,4,,
2021,137288424,136128298,7,1,
2021,137278843,136128298,5,,1
2021,137288428,136119919,7,,
2021,140199524,139492205,6,,
2021,137278847,136119921,7,,
2021,142109610,141722152,6,,
2021,141163613,140615307,7,,
2021,137288437,136128313,5,,1
2021,137278853,136128313,7,1,
2021,137278846,136128304,7,1,
2021,139163182,138287374,7,,
2021,137288433,136128305,7,,
2021,137278848,136119922,4,,
2021,137288435,136128311,5,,
2021,137288436,136128311,7,,
2021,142109698,141722259,5,,
2021,142109700,141722259,7,,
2021,137288431,136128306,5,,1
2021,137278850,136128306,7,1,
2021,137288434,136128310,7,,
2021,137278849,136119923,7,,
2021,137278852,136119924,4,,
2021,137288438,136128312,3,,
2021,149085929,149834209,6,,
2021,142948938,142702682,5,,1
2021,142948939,142702682,7,1,
2021,142948958,142702704,7,,
2021,142948977,142702725,7,,
2021,139163093,138287265,7,,
2021,142948990,142702741,7,,
2021,137278854,136128318,7,,
2021,145133899,145246026,5,,1
2021,145133900,145246026,7,1,
2021,140199483,139492153,7,,
2021,141163227,140614778,7,,
2021,142949124,142702900,5,,1
2021,142949125,142702900,7,1,
2021,139163309,138287533,4,,
2021,142949150,142702931,7,,
2021,142948937,142702681,7,,
2021,142948942,142702685,4,,
2021,142948962,142702708,7,1,
2021,142949065,142702829,7,,
2021,139163330,138287558,5,,1
2021,139163331,138287558,7,1,
2021,142949296,142703086,4,,
2021,142949299,142703086,7,,
2021,142109470,141721990,7,,
2021,142949423,142703231,7,,
2021,142949215,142703003,1,,
2021,141163279,140614850,5,,1
2021,141163280,140614850,7,1,
2021,140199557,139492244,5,,1
2021,140199558,139492244,7,1,
2021,142949405,142703215,7,,
2021,142949493,142703303,7,,
2021,142948994,142702748,7,,
2021,142949000,142702754,4,,
2021,139163108,138287282,3,,
2021,139163110,138287285,6,,
2021,142949002,142702756,7,,
2021,142949007,142702763,7,,
2021,142949015,142702770,7,,
2021,139163116,138287294,1,,
2021,142949033,142702787,7,,
2021,142949041,142702798,7,,
2021,142949044,142702801,1,,
2021,139163128,138287306,7,,
2021,139163149,138287329,7,,
2021,142949070,142702834,7,,
2021,142949155,142702938,4,,
2021,139163165,138287351,7,,
2021,142949185,142702970,4,,
2021,140199578,139492273,7,,
2021,142949238,142703027,7,1,
2021,142949267,142703058,6,,
2021,142109508,141722033,5,,1
2021,142109509,141722033,7,1,
2021,142949325,142703124,5,,
2021,142949326,142703124,7,,
2021,142949012,142702768,7,,
2021,142949027,142702781,7,,
2021,142949035,142702789,6,,
2021,139163219,138287419,7,,
2021,142949108,142702880,7,,
2021,139163235,138287436,7,,
2021,142949030,142702784,3,,
2021,139163249,138287455,7,,
2021,142949089,142702857,7,,
2021,140199493,139492170,7,,
2021,139163332,138287560,7,,
2021,140199444,139492099,4,,
2021,139163346,138287583,7,,
2021,140199469,139492132,4,,
2021,139163154,138287336,4,,
2021,140199529,139492210,7,,
2021,140199561,139492247,7,,
2021,139163172,138287359,4,,
2021,145133949,145246093,4,,
2021,139163183,138287375,7,,
2021,139163198,138287395,4,,
2021,139163216,138287417,7,,
2021,139163415,138287687,5,,
2021,139163416,138287687,7,,
2021,139163170,138287354,7,,
2021,139163186,138287377,7,,
2021,139163199,138287396,7,,
2021,139163212,138287412,7,,
2021,139163229,138287429,7,,
2021,139163258,138287464,7,,
2021,140199497,139492176,7,,
2021,139163240,138287443,7,,
2021,139163255,138287460,7,,
2021,139163266,138287474,7,1,
2021,139163279,138287494,5,,1
2021,139163280,138287494,7,1,
2021,139163310,138287534,7,,
2021,139163325,138287550,7,1,
2021,139163341,138287575,7,,
2021,140199523,139492204,7,,
2021,142972792,142731618,5,,
2021,142972793,142731618,7,,
2021,140199568,139492263,5,,
2021,140199569,139492263,7,,
2021,139163217,138287418,5,,
2021,139163218,138287418,7,,
2021,139163265,138287473,6,,
2021,140199602,139492301,7,,
2021,139163278,138287493,7,1,
2021,139163287,138287507,4,,
2021,140199667,139492394,6,,
2021,139163303,138287523,5,,1
2021,139163304,138287523,7,1,
2021,139163314,138287538,7,,
2021,139163329,138287555,7,,
2021,139163343,138287578,4,,
2021,140199692,139492426,4,,
2021,140199693,139492426,7,,
2021,139163319,138287545,7,,
2021,140199455,139492117,7,,
2021,139163328,138287554,1,,
2021,139163365,138287611,5,,
2021,139163366,138287611,7,,
2021,139163386,138287632,5,,
2021,139163387,138287632,7,,
2021,141163294,140614864,7,,
2021,140199490,139492163,7,,
2021,142972824,142731650,3,,
2021,142109553,141722085,4,,
2021,141163314,140614885,1,,
2021,141163353,140614933,7,,
2021,140199694,139492428,4,,
2021,140199732,139492464,7,,
2021,140199514,139492194,7,,
2021,140199584,139492281,7,,
2021,140199624,139492336,7,,
2021,140199644,139492363,4,,
2021,141163359,140614942,7,,
2021,140199636,139492352,7,,
2021,140199659,139492383,4,,
2021,141163232,140614783,7,,
2021,142109502,141722025,6,,
2021,140199748,139492485,5,,1
2021,140199749,139492485,7,1,
2021,140199503,139492182,4,,
2021,142109542,141722070,7,,
2021,140199570,139492264,7,,
2021,141164980,140616849,4,,
2021,142109573,141722108,5,,1
2021,142109574,141722108,7,1,
2021,140199725,139492462,7,1,
2021,140199776,139492511,6,,
2021,140199556,139492243,7,,
2021,140199581,139492277,7,,
2021,140199614,139492320,7,,
2021,140199633,139492348,7,,
2021,140199656,139492379,7,,
2021,141165031,140616913,7,,
2021,140199682,139492410,7,1,
2021,141165078,140616971,7,,
2021,140199702,139492434,6,,
2021,141165146,140617049,4,,
2021,141165147,140617049,7,,
2021,142109587,141722124,1,,
2021,140199761,139492495,7,,
2021,142109601,141722140,4,,
2021,142109602,141722140,7,,
2021,140199783,139492519,7,,
2021,141165206,140617117,4,,
2021,140199810,139492545,7,,
2021,140199843,139492579,7,,
2021,140199845,139492581,7,,
2021,141165023,140616903,7,,
2021,141165064,140616951,4,,
2021,141165065,140616951,6,,
2021,140199878,139492619,7,1,
2021,140199641,139492359,7,,
2021,140199701,139492433,7,,
2021,140199723,139492461,5,,
2021,140199724,139492461,7,,
2021,140199772,139492508,4,,
2021,140199773,139492508,5,,
2021,140199774,139492508,7,,
2021,140199770,139492507,5,,
2021,140199771,139492507,7,,
2021,141165115,140617011,4,,
2021,141163526,140615191,7,,
2021,141163596,140615282,7,,
2021,141163642,140615355,7,,
2021,141163315,140614886,7,,
2021,141163333,140614907,4,,
2021,141163351,140614931,4,,
2021,141163363,140614945,7,,
2021,142109459,141721980,7,,
2021,141163608,140615294,4,,
2021,141163680,140615402,6,,
2021,141163698,140615421,5,,1
2021,141163699,140615421,7,1,
2021,141163384,140614979,4,,
2021,141163392,140614990,7,,
2021,141163407,140615011,1,,
2021,142109482,141722000,7,,
2021,142109651,141722200,6,,
2021,142109684,141722239,4,,
2021,141163421,140615035,5,,
2021,141163422,140615035,7,,
2021,141163450,140615089,7,,
2021,141163487,140615140,4,,
2021,142972788,142731613,4,,
2021,142972789,142731613,7,,
2021,141163435,140615058,7,,
2021,141163464,140615115,4,,
2021,142111220,141723975,7,,
2021,141163490,140615144,7,1,
2021,141163506,140615163,4,,
2021,141163520,140615178,4,,
2021,141163528,140615195,7,1,
2021,141163547,140615220,7,1,
2021,141163560,140615240,7,,
2021,142111303,141724064,4,,
2021,141163502,140615159,4,,
2021,149086001,149834288,7,,
2021,142111377,141724138,4,,
2021,142109713,141722273,7,,
2021,142109747,141722316,7,,
2021,147366232,147844013,5,,1
2021,147366233,147844013,7,1,
2021,142109801,141722375,7,,
2021,142109621,141722163,5,,1
2021,142109622,141722163,7,1,
2021,142109642,141722186,7,,
2021,142109649,141722196,4,,
2021,142109717,141722277,7,,
2021,142109764,141722338,7,,
2021,142109798,141722370,7,,
2021,142109845,141722429,7,,
2021,142109868,141722455,4,,
2021,142109695,141722250,4,,
2021,142109825,141722404,7,,
2021,142972984,142731834,6,,
2021,142109853,141722439,7,1,
2021,142109660,141722210,7,,
2021,142109679,141722236,7,,
2021,142109697,141722254,7,,
2021,142109715,141722272,7,,
2021,142972801,142731627,7,,
2021,142109745,141722314,7,,
2021,142109756,141722320,7,,
2021,142109737,141722306,7,,
2021,145134212,145246439,5,,
2021,145134213,145246439,7,,
2021,142109802,141722377,7,,
2021,146075097,146330856,4,,
2021,142109833,141722414,7,,
2021,142109844,141722428,6,,
2021,142972831,142731661,7,,
2021,142109863,141722450,7,,
2021,142109685,141722233,7,,
2021,145133986,145246153,4,,
2021,142109929,141722518,7,,
2021,142109973,141722559,4,,
2021,142109974,141722559,7,,
2021,142109761,141722330,6,,
2021,142972934,142731771,7,,
2021,142110084,141722688,7,,
2021,142972975,142731825,7,,
2021,142109726,141722290,6,,
2021,142109807,141722380,7,,
2021,142973034,142731888,7,1,
2021,142973060,142731922,7,,
2021,142973095,142731956,7,,
2021,142972980,142731830,7,,
2021,142973041,142731893,7,,
2021,142973057,142731919,5,,
2021,142973058,142731919,7,,
2021,142972843,142731674,4,,
2021,142972880,142731710,5,,
2021,142972881,142731710,7,,
2021,142972940,142731779,7,,
2021,142972858,142731691,7,,
2021,142972893,142731726,7,,
2021,142972911,142731745,7,,
2021,142972939,142731776,7,,
2021,142972955,142731801,7,,
2021,145134145,145246361,5,,
2021,145134146,145246361,7,,
2021,142972982,142731833,5,,
2021,142972983,142731833,7,,
2021,142973049,142731904,7,,
2021,142973079,142731940,4,,
2021,145134186,145246412,4,,
2021,142973176,142732056,5,,1
2021,142973177,142732056,7,1,
2021,145133994,145246165,7,,
2021,145134010,145246185,7,,
2021,142973124,142731992,4,,
2021,142973327,142732239,7,,
2021,142973050,142731906,7,,
2021,142973082,142731943,5,,1
2021,142973083,142731943,7,1,
2021,142973105,142731965,7,,
2021,142973131,142732001,7,,
2021,142973197,142732081,5,,1
2021,142973198,142732081,7,1,
2021,142973264,142732164,7,,
2021,145134137,145246351,6,,
2021,142973135,142732006,4,,
2021,142973166,142732043,4,,
2021,142973209,142732095,7,,
2021,142973228,142732112,4,,
2021,142973246,142732136,7,,
2021,142973266,142732172,5,,1
2021,142973267,142732172,7,1,
2021,142973127,142731996,4,,
2021,142973205,142732091,7,,
2021,145134188,145246414,4,,
2021,142973241,142732130,5,,
2021,142973242,142732130,7,,
2021,142973281,142732188,5,,
2021,142973282,142732188,7,,
2021,145134214,145246441,1,,
2021,148588704,149281977,4,,
2021,148588705,149281977,7,,
2021,145134100,145246307,7,,
2021,145134071,145246266,4,,
2021,145134072,145246266,7,,
2021,145134099,145246305,4,,
2021,142973366,142732292,7,,
2021,145134165,145246381,4,,
2021,145134166,145246381,8,,
2021,145134205,145246434,5,,
2021,145134206,145246434,6,,
2021,145134207,145246434,7,,
2021,145134245,145246469,7,,
2021,145134284,145246522,4,,
2021,145134315,145246569,4,,
2021,145134331,145246589,1,,
2021,145134193,145246424,7,,
2021,145134249,145246473,4,,
2021,145134303,145246546,7,,
2021,145134332,145246590,5,,1
2021,145134333,145246590,7,1,
2021,145134326,145246581,4,,
2021,145134342,145246599,5,,1
2021,145134343,145246599,7,1,
2021,145134374,145246640,4,,
2021,145134256,145246482,4,,
2021,145134378,145246645,7,,
2021,145134394,145246666,7,,
2021,145134414,145246690,7,,
2021,145134436,145246718,5,,1
2021,145134437,145246718,7,1,
2021,145134314,145246566,7,,
2021,145134335,145246592,7,,
2021,145134353,145246611,7,,
2021,145134371,145246636,7,,
2021,145134480,145246770,7,1,
2021,145134325,145246580,7,,
2021,145134365,145246631,7,,
2021,147366295,147844088,7,,
2021,145134385,145246653,4,,
2021,145134395,145246667,6,,
2021,145134367,145246633,7,,
2021,145134381,145246649,5,,
2021,145134382,145246649,7,,
2021,145134411,145246686,7,,
2021,146074965,146330710,7,,
2021,145134446,145246726,4,,
2021,145134457,145246740,7,,
2021,145134488,145246778,5,,1
2021,145134489,145246778,7,1,
2021,145134405,145246679,4,,
