data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2021,5,136532122,16.500,1,6898722
2021,5,136532184,0.210,3,7130656
2021,4,142972665,2.100,1,11902654
2021,16,142972665,205.000,9,11902655
2021,5,137288405,1.500,1,6972001
2021,5,140199524,28.600,1,11495238
2021,2,142109610,12.500,1,11778153
2021,4,149085929,0.700,1,12754487
2021,1,142949267,0.100,1,11899468
2021,5,142949035,3.600,1,11899452
2021,5,140199667,12.400,1,11495244
2021,5,142109502,0.300,1,11778145
2021,5,140199776,8.900,1,11495250
2021,5,140199702,0.505,3,11495245
2021,5,141165065,3.400,1,11636964
2021,1,141163680,0.200,1,11636841
2021,5,142109651,0.030,3,11778156
2021,1,142972984,7.300,1,11902695
2021,12,142109844,24.000,9,11778164
2021,1,145134137,1.400,1,12208198
2021,14,145134206,2.000,9,12208205
2021,15,145134395,4.000,9,12208221
2021,16,145134395,4.000,9,12208222
2021,1,145134531,3.800,1,12208230
2021,16,145134531,10.000,9,12208231
2021,5,145134615,3.000,10,12208238
2021,16,147366145,0.040,1,12518641
2021,5,145134590,213.000,1,12208236
2021,5,145134658,0.500,1,12208243
2021,5,145134757,14.300,1,12208253
2021,1,146075066,0.200,1,12345296
2021,5,146075251,2.200,1,12345310
2021,1,147366375,1.700,1,12518658
2021,8,147366375,11.200,1,12518659
2021,11,147366375,4.300,1,12518660
2021,5,146075221,4.500,1,12345303
2021,1,147366517,0.800,1,12518673
2021,4,147366565,2.800,1,12518677
2021,5,141162479,0.120,3,11636744
2021,8,141162479,0.050,3,11636745
2021,16,141162479,0.120,3,11636746
2021,5,142972491,0.800,1,11902632
2021,16,142952873,1.000,9,11899840
2021,4,136532835,3.500,1,7002245
2021,1,136532835,14.100,1,7002246
2021,1,136528279,0.100,1,7142515
2021,16,136528291,2.000,9,7069844
2021,4,136528291,0.200,1,7069845
2021,2,136528290,7.500,1,7085941
2021,1,136528290,8.100,1,7085942
2021,4,136528290,1.500,1,7085943
2021,4,136528293,3.500,1,6796844
2021,1,136528295,6.800,1,6996600
2021,1,142953268,0.400,1,11899864
2021,1,140201331,1.800,1,11495358
2021,5,139168710,53.000,1,11321310
2021,16,139168710,1.500,1,11321311
2021,4,139168664,23.000,9,11321299
2021,8,139168664,1.000,9,11321300
2021,10,140201398,1.700,1,11495361
2021,4,140201391,0.050,1,11495360
2021,5,142115264,0.500,1,11778545
2021,16,140201315,1.000,9,11495357
2021,5,140201417,2.600,1,11495363
2021,4,141168537,15.000,9,11637238
2021,8,141168537,1.000,9,11637239
2021,17,141168537,1.000,9,11637240
2021,4,142115556,3.900,1,11778573
2021,16,139169070,1.000,9,11321394
2021,4,137278835,7.000,9,8850585
2021,4,142978676,6.000,1,11903182
2021,1,142978929,10.700,1,11903192
2021,16,142978929,20.700,1,11903193
2021,1,144133061,7.100,1,12077024
2021,2,144133061,0.200,1,12077025
2021,4,144132933,2.000,3,12077012
2021,1,145141318,0.400,1,12208685
2021,4,145141318,41.300,1,12208686
2021,11,145140575,70.000,1,12208597
2021,2,146078787,0.200,1,12345541
2021,1,146078787,0.200,1,12345540
2021,4,142115047,1.000,1,11778519
2021,1,146079043,0.300,1,12345564
2021,8,146079043,1.000,9,12345565
2021,5,142115020,1.000,3,11778512
2021,2,146753738,0.100,1,12436180
2021,10,142115020,2.000,1,11778513
2021,1,146078900,1.900,1,12345549
2021,5,142115165,0.200,1,11778536
2021,8,144132847,2.000,1,12077007
2021,4,146079173,9.100,1,12345577
2021,13,146079173,3.000,9,12345578
2021,5,147366079,1.000,3,12518634
2021,16,147366079,10.000,9,12518635
2021,17,147366079,12.000,9,12518636
2021,5,136527752,15.900,3,9647094
2021,5,139168343,59.500,1,11321266
2021,16,139168343,13.500,9,11321267
2021,16,139168343,13.700,1,11321268
2021,8,137289403,1.000,1,6734881
2021,1,137289403,1.700,1,6734882
2021,5,137289347,0.800,3,10445385
2021,16,137289340,10.000,9,6744857
2021,1,137289433,0.010,1,10452741
2021,5,140197994,130.000,1,11495106
2021,2,139168421,20.670,1,11321273
2021,1,137289478,0.350,1,8407239
2021,5,137289508,294.000,1,10436307
2021,5,140197882,12.000,1,11495100
2021,5,139168674,0.800,3,11321304
2021,4,142114319,128.000,9,11778465
2021,5,139168679,62.000,1,11321305
2021,1,139168585,0.620,1,11321290
2021,2,139168585,1.070,1,11321291
2021,5,142952845,4.520,3,11899838
2021,1,145140652,11.300,1,12208604
2021,4,145140652,56.000,9,12208605
2021,16,145140652,34.000,9,12208606
2021,5,142952749,1.000,3,11899826
2021,17,139167316,1.000,9,11321163
2021,4,139168816,0.010,1,11321321
2021,12,139167639,0.500,1,11321201
2021,1,139168647,0.930,1,11321292
2021,4,139168647,7.890,1,11321293
2021,5,139168764,1.000,4,11321314
2021,3,140201193,1.000,9,11495348
2021,12,140201193,1.000,9,11495349
2021,5,144131906,1.000,3,12076943
2021,5,142114388,1.600,3,11778470
2021,8,140198080,0.460,1,11495118
2021,10,140198080,1.870,1,11495119
2021,4,144131817,10.000,1,12076938
2021,8,140198026,4.000,9,11495112
2021,16,140198026,49.000,9,11495113
2021,4,140198096,3.000,9,11495121
2021,16,140198096,1.500,9,11495122
2021,5,147365975,6.000,1,12518630
2021,8,147365975,9.000,1,12518631
2021,4,145139684,0.001,1,12208519
2021,1,145140914,0.770,1,12208636
2021,4,145140914,2.000,9,12208637
