data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2024,61781493,202039558,1,2024-06-27,1,N,09A,32,29,F,10,20,R,,,29,
2024,62973002,205777581,1,2024-05-06,1,N,09A,35,32,M,20,20,R,,,32,
2024,61323152,200629729,1,2024-05-27,1,N,09A,54,51,M,10,20,R,,,51,
2024,60633431,198468958,1,2024-04-14,1,N,09A,55,52,M,10,20,N,,,52,
2024,59237938,194140856,1,2024-03-15,3,N,09A,45,42,M,10,10,R,,,42,
2024,60619925,198422715,1,2024-08-24,3,N,09A,45,42,M,20,10,N,,,42,
2024,62975457,205785936,1,2024-06-02,1,N,09A,49,46,M,10,20,R,,,46,
2024,62976729,205791272,1,2024-06-02,3,N,09A,65,62,M,10,10,R,,,62,
2024,63541161,207479184,6,2024-09-25,3,N,09A,21,18,M,20,20,N,,,18,
2024,60622475,198431044,1,2024-05-25,1,M,09A,29,26,M,10,20,R,,,26,
2024,60634681,198473314,1,2024-04-30,1,N,09A,70,67,M,20,10,R,,,67,
2024,62971421,205772299,1,2024-08-19,1,N,09A,43,40,M,20,20,N,,,40,
2024,62972912,205776995,1,2024-04-24,3,C,09A,30,27,M,10,10,R,,,27,
2024,63774640,208156147,4,2024-06-06,3,N,09A,27,24,F,10,40,R,,,24,
2024,59242427,194156341,1,2024-04-18,2,C,09A,33,30,M,10,10,N,,,30,
2024,60631944,198463009,1,2024-07-31,3,N,09A,29,26,M,10,20,N,,,26,
2024,63774889,208156642,11,2024-04-04,1,N,09A,39,36,M,10,20,N,,,36,
2024,63864647,208411806,1,2024-06-17,1,N,09A,24,21,M,20,20,N,,,21,
2024,63865032,208412794,3,2024-12-31,1,N,09A,23,20,M,20,40,R,,,20,
2024,60629462,198453570,1,2024-07-20,1,N,09A,39,36,M,20,20,R,,,36,
2024,62972525,205775757,1,2024-01-15,3,N,09A,21,18,M,20,20,N,,,18,
2024,60631527,198461855,1,2024-04-06,1,N,09A,48,45,M,20,20,R,,,45,
2024,62968924,205763405,2,2024-09-03,3,C,09A,34,31,F,20,40,N,,,31,
2024,62332869,203757210,1,2024-08-15,3,N,09A,29,26,M,10,20,R,,,26,
2024,63539712,207474348,1,2024-10-26,1,N,09A,26,23,M,10,20,R,,,23,
2024,63540196,207475636,1,2024-05-02,1,N,09A,31,28,F,10,20,R,,,28,
2024,63872989,208436543,1,2024-06-04,1,N,09A,40,37,M,20,40,U,,,37,
2024,63873018,208436627,1,2024-11-26,1,N,09A,19,16,M,20,40,U,H,,16,
2024,63873026,208436680,1,2024-08-30,3,N,09A,36,33,M,20,40,U,,,33,
2024,63873043,208436753,1,2024-09-11,3,N,09A,20,17,M,20,40,U,H,,17,
2024,63873044,208436753,2,2024-09-09,3,N,09A,21,18,M,20,40,U,,,18,
2024,63873054,208436803,1,2024-08-24,1,N,09A,41,38,M,20,40,R,,,38,
2024,63873070,208436844,1,2024-09-05,3,N,09A,31,28,M,20,20,R,,,28,
2024,63543645,207486021,1,2024-10-10,3,N,09A,35,32,M,20,20,N,,,32,
2024,63873109,208437033,1,2024-11-08,1,N,09A,31,28,M,20,40,R,,,28,
2024,63873122,208437075,1,2024-12-20,3,N,09A,43,40,F,20,20,R,,,40,
2024,63873150,208437192,1,2024-12-09,1,N,09A,28,25,M,20,20,R,,,25,
2024,63873151,208437192,2,2024-12-09,1,N,09A,28,25,M,20,20,N,,,25,
2024,60625880,198442583,1,2024-07-21,3,N,09A,21,18,M,10,10,N,,,18,
2024,62970391,205768596,1,2024-12-06,3,N,09A,34,31,M,20,20,R,,,31,
2024,63540824,207478191,1,2024-07-30,3,C,09A,25,22,M,20,20,R,,,22,
2024,63540830,207478211,1,2024-02-15,3,C,09A,32,29,M,20,40,R,,,29,
2024,63540814,207478147,1,2024-03-07,3,C,09A,31,28,M,20,40,R,,,28,
2024,63540815,207478147,2,2024-03-11,3,C,09A,30,27,M,98,40,R,,,27,
2024,63540817,207478156,1,2024-05-08,3,C,09A,19,16,M,98,40,R,R,,16,
2024,63540844,207478274,1,2024-08-28,3,C,09A,62,59,M,10,10,R,,,59,
2024,63540826,207478200,1,2024-10-17,1,C,09A,37,34,M,98,10,R,,,34,
2024,63540853,207478293,1,2024-12-23,3,C,09A,27,24,M,20,20,R,,,24,
2024,61322546,200628146,1,2024-10-31,1,N,09A,70,67,M,10,20,R,,,67,
