data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,8,198429138,70.000,5,19807499
2024,13,198429137,4.000,9,19807498
2024,8,182756024,25.000,9,17508760
2024,1,198429206,1.000,1,19807503
2024,16,198429240,7.000,9,19807505
2024,16,198429285,10.000,3,19807510
2024,17,198429340,1.000,9,19807515
2024,16,198429413,41.000,9,19807527
2024,16,182756101,1.000,2,17508767
2024,8,198429445,1.000,1,19807533
2024,1,198429339,0.500,1,19807514
2024,16,198429390,14.000,1,19807525
2024,8,198429457,34.000,9,19807535
2024,1,196987222,2.500,1,19588943
2024,4,196987222,4.500,1,19588944
2024,2,184090030,3.800,1,17716689
2024,1,187247449,4.007,1,18198118
2024,8,196987391,4.000,9,19588953
2024,8,196987391,0.050,1,19588954
2024,16,196987391,86.000,9,19588955
2024,5,196987428,8.000,1,19588958
2024,1,198429462,0.250,1,19807536
2024,1,198429395,1.500,1,19807526
2024,16,198429600,10.500,1,19807546
2024,1,198429638,0.500,1,19807547
2024,2,198429659,1.000,1,19807550
2024,12,198429659,4.000,1,19807551
2024,1,196987618,0.300,1,19588969
2024,16,196987618,1.000,9,19588970
2024,1,198429675,4.000,1,19807553
2024,8,198429675,6.000,1,19807554
2024,1,198429660,0.200,1,19807552
2024,1,198429522,0.800,1,19807541
2024,2,198429649,2.000,1,19807548
2024,1,198429688,14.000,1,19807558
2024,2,198429779,1.000,1,19807565
2024,1,187247500,4.000,1,18198123
2024,4,187247500,7.005,1,18198124
2024,8,198429769,24.000,1,19807563
2024,15,198429769,10.000,9,19807564
2024,1,198430001,4.000,1,19807579
2024,1,198430012,5.000,1,19807583
2024,8,198430049,59.000,9,19807587
2024,1,198430059,0.500,1,19807588
2024,4,198430059,0.500,1,19807589
2024,8,198430009,2.000,9,19807580
2024,1,198430118,0.200,1,19807590
2024,4,198430118,2.500,1,19807591
2024,8,198430118,4.005,9,19807592
2024,4,185509922,20.500,1,17935254
2024,16,185509922,4.000,3,17935255
2024,2,198430287,0.500,1,19807608
2024,12,198430148,9.500,9,19807596
2024,16,198430148,0.500,9,19807597
2024,2,184090022,4.000,1,17716688
2024,4,198430308,0.008,1,19807614
2024,1,198430354,2.000,1,19807617
2024,4,198430354,6.000,1,19807618
2024,12,196987991,9.000,9,19588997
2024,12,196988008,14.000,1,19589000
2024,12,198430271,3.000,1,19807605
2024,16,198430271,4.500,1,19807606
2024,4,198430352,0.500,1,19807616
2024,2,187247675,0.800,1,18198140
2024,1,198430383,0.400,1,19807619
2024,1,198430527,3.000,1,19807630
2024,1,198430326,1.500,1,19807615
2024,12,198430501,1.000,9,19807627
2024,1,198430819,0.500,1,19807639
2024,8,187247653,12.000,1,18198139
2024,2,198430881,4.000,1,19807640
2024,2,198430725,0.050,1,19807634
2024,8,198430725,2.000,9,19807635
2024,16,198430725,3.000,9,19807636
2024,1,198430972,0.500,1,19807646
2024,2,198431032,0.200,1,19807650
2024,16,198431026,9.000,9,19807649
2024,1,198430944,1.000,1,19807645
2024,8,198430888,3.000,9,19807642
2024,8,187247933,2.000,1,18198159
2024,11,198431045,10.000,9,19807651
2024,12,198431045,20.005,9,19807652
2024,1,190841613,3.001,1,18729883
2024,1,187248007,0.250,1,18198168
2024,8,190841892,2.000,1,18729892
2024,12,190841892,3.000,9,18729893
2024,2,193839049,2.000,1,19166338
2024,1,187248518,3.000,3,18198200
2024,13,187248494,4.000,9,18198196
2024,1,190842028,10.006,1,18729902
2024,7,190842028,14.000,9,18729903
2024,1,190841937,0.100,1,18729895
2024,2,190842060,91.005,1,18729905
2024,5,190842060,9.028,4,18729906
2024,17,190842060,0.010,1,18729907
2024,12,190842136,15.000,9,18729917
2024,1,190842177,0.200,1,18729919
2024,2,193839161,37.005,1,19166351
2024,16,193839161,33.002,1,19166352
2024,1,198431138,4.500,1,19807654
2024,4,198431138,45.500,1,19807655
2024,8,193839192,1.000,9,19166354
2024,1,190842578,1.000,1,18729950
2024,1,193839226,2.000,1,19166362
2024,1,190842654,1.000,1,18729956
2024,8,190842750,7.000,1,18729961
2024,8,193839382,2.000,9,19166378
2024,2,193839204,8.000,1,19166357
2024,1,193839289,4.000,1,19166367
2024,2,193839389,2.000,1,19166379
2024,1,193839574,1.000,1,19166412
2024,4,193839574,12.000,1,19166413
2024,12,193839574,26.000,1,19166414
2024,1,193839516,16.000,1,19166393
2024,4,193839516,6.000,1,19166394
2024,1,198431182,0.200,1,19807657
2024,4,198431182,0.200,1,19807658
2024,1,198431177,2.000,1,19807656
2024,13,196988168,24.000,9,19589018
2024,15,196988168,49.000,9,19589019
2024,4,193839530,1.000,1,19166397
2024,2,193839549,109.004,1,19166403
2024,16,193839549,23.005,1,19166404
2024,1,196988206,1.000,1,19589023
2024,16,196988389,8.500,1,19589045
2024,1,182756156,0.600,1,17508772
2024,4,196988328,1.000,1,19589037
2024,5,193839858,2.000,1,19166439
2024,1,193839901,3.000,1,19166442
2024,1,198431230,0.500,1,19807659
2024,8,198431230,4.000,1,19807660
2024,15,198431230,1.000,9,19807661
2024,4,193834142,4.006,1,19165931
2024,16,193834142,4.000,9,19165932
2024,4,199205255,1.600,1,19925159
2024,12,193834358,1.700,1,19165942
2024,16,184087535,2.000,9,17716480
2024,1,193834503,1.000,1,19165957
2024,15,193834441,15.000,9,19165951
2024,16,193834441,21.000,9,19165952
2024,2,193834579,0.100,1,19165965
2024,2,193834454,0.000,1,19165954
2024,5,193834519,20.000,10,19165961
2024,7,193834722,4.000,1,19165971
2024,2,193834647,1.300,1,19165967
2024,1,184087614,0.200,1,17716494
2024,2,184087614,0.300,1,17716495
2024,16,193834808,2.500,9,19165983
2024,16,184087627,5.200,1,17716496
2024,7,184087635,2.000,9,17716497
2024,5,199205260,4.005,1,19925160
2024,16,199205275,46.000,9,19925161
2024,8,199205302,6.000,5,19925162
2024,2,199205331,1.000,1,19925163
2024,5,190835134,2.000,1,18729537
2024,11,190835134,8.000,1,18729538
2024,16,190835134,750.000,5,18729539
2024,4,190835427,0.800,1,18729547
2024,16,190835427,1.000,9,18729548
2024,17,190835427,1.000,11,18729549
2024,1,187237420,0.020,1,18197156
2024,6,190814287,75.000,1,18727688
2024,5,192633341,1.000,3,18990139
2024,5,187240560,1.000,9,18197436
2024,8,190824952,1.000,9,18728650
2024,1,190824802,10.200,1,18728631
2024,16,190824920,33.000,9,18728648
2024,16,190824920,1.100,1,18728649
2024,8,190825085,0.900,1,18728659
2024,12,182346224,2.700,1,17444551
2024,12,195295179,21.900,1,19362212
2024,17,195295179,59.000,9,19362213
2024,12,185511399,1.000,11,17935462
2024,5,185511441,12.600,1,17935471
2024,16,185511441,4.000,9,17935474
2024,5,184092280,15.100,1,17716929
2024,16,185509738,5.000,9,17935238
2024,4,196983979,1.000,1,19588619
2024,16,196983979,6.000,9,19588620
2024,1,196983948,0.100,1,19588614
2024,2,196983946,1.000,3,19588613
2024,1,196984162,0.008,1,19588632
2024,2,196984162,1.002,1,19588633
2024,16,196984162,6.000,9,19588634
2024,8,196984379,1.000,9,19588650
2024,5,196984244,105.000,1,19588641
2024,5,196984749,20.000,1,19588678
2024,2,196984672,1.000,1,19588667
2024,2,196984680,0.740,1,19588668
2024,8,196984680,2.600,1,19588669
2024,2,196984851,34.000,1,19588683
2024,1,196984941,23.000,1,19588689
2024,8,196985150,2.000,9,19588706
2024,1,196985212,8.003,1,19588710
2024,8,196985212,1.500,1,19588711
2024,2,196985477,1.000,1,19588737
2024,1,196985507,1.000,1,19588739
2024,16,196985507,1.000,1,19588740
2024,1,196985651,1.000,1,19588746
2024,1,196985746,0.500,1,19588750
2024,8,196985746,0.500,1,19588751
2024,1,196985764,2.400,1,19588753
2024,8,196985764,98.001,1,19588754
2024,1,196985817,1.000,1,19588764
2024,2,196985817,26.000,1,19588765
2024,4,196985767,1.000,1,19588756
2024,8,196985925,3.000,1,19588784
2024,1,185507106,1.000,1,17934921
2024,11,196985962,6.001,1,19588787
2024,5,196985819,1.300,3,19588766
2024,8,196985918,4.000,1,19588778
2024,12,196985918,26.000,1,19588779
2024,2,196986008,1.000,1,19588792
2024,1,190833894,1.005,1,18729445
2024,2,190833894,12.001,1,18729446
2024,7,196986164,1.000,9,19588798
2024,8,190834030,0.250,1,18729454
2024,2,196986331,1.140,1,19588805
2024,2,196986315,0.001,1,19588804
2024,1,190833940,5.000,1,18729450
2024,8,190833940,2.000,9,18729451
2024,17,190833940,1.000,9,18729452
2024,1,196986227,2.000,1,19588799
2024,2,196986227,1.000,1,19588800
2024,2,196986552,0.010,1,19588831
2024,8,196986552,28.970,1,19588832
2024,8,196986571,4.000,9,19588836
2024,17,196986571,2.000,1,19588837
2024,12,196986485,41.000,9,19588819
2024,16,190834104,94.000,9,18729455
2024,17,190834104,1.000,9,18729456
2024,1,198426000,0.010,1,19807183
2024,2,198426000,22.034,1,19807184
2024,8,198426085,12.000,9,19807191
2024,1,198426094,0.500,1,19807192
2024,2,198426094,2.000,1,19807193
2024,1,198426102,4.000,1,19807195
2024,8,198426207,3.000,9,19807203
2024,12,198426207,1.000,9,19807204
2024,16,198426207,7.000,9,19807205
2024,2,198426211,3.005,1,19807207
2024,2,198426107,1.000,1,19807196
2024,5,198426233,25.000,4,19807209
2024,2,198426206,3.012,1,19807202
2024,4,190834191,1.100,1,18729464
2024,1,190834251,1.000,1,18729475
2024,4,190834251,0.500,1,18729476
2024,2,190834182,20.000,1,18729460
2024,4,190834182,42.000,1,18729461
2024,5,190834182,2.000,3,18729462
2024,2,190834226,20.000,1,18729468
2024,4,190834226,42.000,1,18729469
2024,8,190834226,2.000,9,18729470
2024,1,190834264,0.003,1,18729479
2024,1,196986637,0.500,1,19588848
2024,4,196986637,1.000,1,19588849
2024,8,196986637,1.000,9,19588850
2024,2,196986737,2.000,1,19588868
2024,8,196986608,2.700,3,19588842
2024,12,196986608,4.500,9,19588843
2024,16,196986608,8.000,9,19588844
2024,1,196986844,1.000,1,19588878
2024,1,196986834,0.100,1,19588876
2024,16,196986821,44.000,9,19588875
2024,8,196986879,50.000,9,19588892
2024,16,196986855,5.000,9,19588884
2024,1,196986887,1.000,1,19588895
2024,8,196986887,1.000,9,19588896
2024,8,196986846,41.000,9,19588879
2024,8,196986846,1.000,1,19588880
2024,17,196986846,3.200,3,19588881
2024,1,196986861,0.100,1,19588885
2024,1,196987035,2.005,1,19588917
2024,8,196987035,81.000,1,19588918
2024,1,196986886,2.000,1,19588894
2024,16,196986870,4.000,9,19588887
2024,16,196986870,4.000,5,19588888
2024,2,196987019,0.250,1,19588915
2024,2,196986983,1.900,1,19588912
2024,8,196986983,3.100,1,19588913
2024,8,196986902,3.500,1,19588899
2024,16,196986902,11.000,9,19588900
2024,1,196987063,9.000,1,19588922
2024,8,196987043,1.500,9,19588921
2024,1,196987065,1.000,2,19588923
2024,1,196987144,1.000,1,19588931
2024,16,196987144,1.000,1,19588932
2024,17,196987398,0.000,7,19588956
2024,1,196987170,2.000,1,19588938
2024,8,196987170,2.000,9,19588939
2024,16,192633694,1.000,11,18990155
2024,16,184086452,1.000,11,17716364
2024,8,190830949,6.005,9,18729272
2024,16,190830949,10.000,9,18729273
2024,4,190830932,1.000,1,18729268
2024,8,190830932,8.000,9,18729269
2024,16,190830932,650.000,9,18729270
2024,4,190831284,1.000,1,18729294
2024,8,190831410,1.000,1,18729301
2024,4,193839915,1.004,1,19166444
2024,5,196989271,37.300,1,19589130
2024,8,193839876,4.000,9,19166440
2024,11,193839876,0.200,4,19166441
2024,8,196989423,4.000,9,19589146
2024,16,196989561,4.500,9,19589159
2024,8,182360097,4.000,9,17445902
2024,1,184092165,0.250,1,17716922
2024,2,198424229,1.000,9,19807006
2024,17,190846255,7.001,1,18730172
2024,12,195302444,3.500,1,19362657
2024,4,195302416,1.000,11,19362656
2024,1,195302538,1.000,11,19362663
2024,4,196989155,11.100,1,19589122
2024,1,187249003,4.000,1,18198241
2024,2,195302594,2.900,1,19362671
2024,1,195302579,1.000,11,19362668
2024,1,195302534,16.000,1,19362661
2024,16,195302534,85.000,9,19362662
2024,8,196989133,70.000,9,19589119
2024,8,187249073,6.000,1,18198245
2024,4,196989167,1.100,1,19589123
2024,5,196989353,4.200,1,19589135
2024,1,198430567,0.100,1,19807631
2024,2,198430303,1.700,1,19807611
2024,11,198430303,50.000,6,19807612
2024,8,190846421,245.000,9,18730179
2024,1,196989396,23.200,1,19589142
2024,2,196989456,2.100,1,19589155
2024,1,196989575,86.800,1,19589160
2024,4,196989575,2.400,1,19589161
2024,1,198430435,30.008,1,19807624
2024,4,198430479,0.370,1,19807626
2024,12,198430431,1.000,9,19807623
2024,8,198430445,2.000,1,19807625
2024,8,198430506,133.000,9,19807628
2024,8,198430506,6.000,1,19807629
2024,16,195302616,14.000,9,19362673
2024,17,195302608,19.500,9,19362672
2024,4,187248980,1.000,1,18198239
2024,1,190846685,0.400,1,18730187
2024,4,190846685,0.100,1,18730188
2024,4,195303274,5.000,1,19362688
2024,11,190846813,28.000,1,18730196
2024,16,190846813,2.000,9,18730197
2024,1,193840244,1.000,1,19166458
2024,1,193840085,1.000,9,19166452
2024,2,193840085,1.000,9,19166453
2024,4,190846942,3.700,1,18730210
2024,4,190846819,7.100,1,18730198
