yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
74152024,7415,2024,MA0010100,MA0010100,,N,N,,I,BARNSTABLE,BARNSTABLE PD,Barnstable,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,50928,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,N,7,3,"Cities from 50,000 thru 99,999",3,"Cities from 50,000 thru 99,999",N,7,,Y,90,6,96,13,20,33,2.0,2.5,1993-05-01,2000-10-01,2014-09-01,2016-11-01,2014-09-01,2014-09-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74162024,7416,2024,MA0010200,MA0010200,,N,N,,I,BOURNE,BOURNE PD BUZZARDS BAY,Bourne,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,21124,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,36,1,37,6,8,14,2.0,2.4,1993-05-01,1995-01-01,2014-07-01,2014-12-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74172024,7417,2024,MA0010300,MA0010300,,N,N,,I,BREWSTER,BREWSTER PD,Brewster,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,10600,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,18,0,18,4,6,10,2.1,2.6,1993-05-01,1999-01-01,2014-07-01,2014-12-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74182024,7418,2024,MA0010400,MA0010400,,N,N,,I,CHATHAM,CHATHAM PD,Chatham,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,6843,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,17,2,19,4,4,8,3.1,3.9,1993-05-01,2003-01-01,2014-07-01,2015-01-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74192024,7419,2024,MA0010500,MA0010500,,N,N,,I,DENNIS,DENNIS PD,Dennis,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,15263,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,3,33,5,7,12,2.3,2.9,1993-05-01,1998-01-01,2014-07-01,2015-10-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74202024,7420,2024,MA0010600,MA0010600,,N,N,,I,EASTHAM,EASTHAM PD,Eastham,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,5932,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,15,0,15,3,6,9,3.0,4.0,1993-05-01,1996-07-01,2014-07-01,2016-04-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74212024,7421,2024,MA0010700,MA0010700,,N,N,,I,FALMOUTH,FALMOUTH PD,Falmouth,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,33877,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,58,2,60,6,6,12,1.9,2.1,1993-05-01,1999-01-01,2014-07-01,2015-01-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74222024,7422,2024,MA0010800,MA0010800,,N,N,,I,HARWICH,HARWICH PD,Harwich,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,13910,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,28,1,29,3,7,10,2.2,2.8,1993-05-01,2001-01-01,2014-07-01,2018-05-01,2014-07-01,2014-07-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74232024,7423,2024,MA0010900,MA0010900,,N,N,,I,MASHPEE,MASHPEE PD,Mashpee,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,15804,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,33,1,34,3,7,10,2.3,2.8,1993-05-01,1999-01-01,2015-01-01,2015-01-01,2015-01-01,2015-01-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
74242024,7424,2024,MA0011000,MA0011000,,N,N,,I,ORLEANS,ORLEANS PD,Orleans,,A,23,Massachusetts,MA,MA,1,New England,1,Northeast,Region I,City,6533,23371,MAUCR0001,Massachusetts Executive Office of Public Safety and Security ,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,1,15,2,6,8,2.4,3.5,1993-05-01,2001-10-01,2015-01-01,2015-03-01,2015-01-01,2015-01-01,N,BARNSTABLE,"Barnstable Town, MA",Y,Y,Y
