data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2024,63798034,208208453,1,2024-05-18,1,N,09A,59,56,F,10,50,R,,,56,
2024,63798027,208208416,1,2024-05-28,1,N,09A,63,60,M,10,40,R,,,60,
2024,63798410,208209268,1,2024-09-26,1,N,09A,26,23,M,10,20,,,,23,
2024,63799024,208210833,1,2025-01-06,3,N,09A,29,26,M,10,50,,,,26,
2024,63799148,208211124,1,2024-12-20,1,N,09A,42,39,F,10,50,,,,39,
2024,63800253,208213311,1,2024-01-12,3,N,09A,52,49,M,10,20,R,,,49,
2024,63800369,208213583,1,2024-03-02,1,N,09A,39,36,M,20,20,U,,,36,
2024,61444582,201009182,1,2024-07-30,3,C,09A,50,47,M,10,20,N,,,47,
2024,63800983,208215066,1,2024-10-28,1,N,09A,24,21,M,98,40,R,,,21,
2024,61443291,201005828,1,2024-07-20,3,N,09A,45,42,M,10,20,R,,,42,
2024,63796441,208204581,1,2024-07-26,3,N,09A,55,52,M,10,20,R,,,52,
2024,63799099,208211019,1,2024-08-18,3,N,09A,44,41,M,10,20,R,,,41,
2024,63799937,208212674,1,2024-09-13,3,N,09A,23,20,M,10,20,R,,,20,
2024,63796501,208204681,1,2024-02-28,3,N,09A,36,33,M,10,20,,,,33,
