data_year,groupb_arrestee_id,arrestee_seq_num,arrest_date,arrest_type_id,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,age_range_low_num,age_range_high_num
2024,52471103,1,2024-01-08,1,90Z,30,27,M,10,20,R,,,
2024,52471050,1,2024-01-13,2,90Z,46,43,F,10,20,N,,,
2024,52471053,1,2024-01-13,2,90Z,38,35,F,10,20,N,,,
2024,52471068,1,2024-01-18,3,90Z,57,54,M,10,20,N,,,
2024,52471063,1,2024-01-04,3,90Z,28,25,M,10,20,N,,,
2024,52471067,1,2024-01-05,1,90F,39,36,M,10,20,N,,,
2024,52471056,1,2024-01-13,2,90Z,37,34,F,10,20,N,,,
2024,52471058,1,2024-01-14,2,90Z,51,48,M,10,20,N,,,
2024,52471061,1,2024-01-15,1,90Z,43,40,M,10,10,R,,,
2024,52471065,1,2024-01-17,3,90Z,49,46,M,10,20,N,,,
2024,52471071,1,2024-01-23,2,90Z,37,34,M,10,20,N,,,
2024,52471076,1,2024-01-29,3,90Z,32,29,F,10,20,N,,,
2024,52471080,1,2024-01-30,2,90Z,43,40,M,10,20,N,,,
2024,52471054,1,2024-01-03,2,90Z,20,17,M,10,20,N,H,,
2024,52471082,1,2024-01-13,2,90Z,54,51,M,10,20,N,,,
2024,52471084,1,2024-01-13,2,90Z,34,31,F,20,20,N,,,
2024,52471090,1,2024-01-13,2,90Z,38,35,F,10,20,N,,,
2024,52823124,1,2024-02-23,3,90Z,57,54,M,10,20,R,,,
2024,52823127,1,2024-02-26,3,90Z,28,25,M,10,20,N,,,
2024,52823122,1,2024-02-21,2,90F,25,22,M,10,20,N,,,
2024,52823129,1,2024-02-26,2,90D,47,44,F,10,20,N,,,
2024,52823145,1,2024-02-02,2,90Z,31,28,M,10,20,N,,,
2024,52823147,1,2024-02-02,2,90Z,43,40,F,10,20,N,,,
2024,52823134,1,2024-02-13,2,90Z,57,54,M,10,20,R,,,
2024,53217361,1,2024-03-06,3,90Z,50,47,M,10,20,R,,,
2024,53217357,1,2024-03-01,2,90Z,23,20,M,10,20,N,,,
2024,53217359,1,2024-03-06,3,90Z,33,30,F,10,20,N,,,
2024,53217339,1,2024-03-13,1,90C,53,50,M,10,20,R,,,
2024,53217343,1,2024-03-15,2,90Z,50,47,F,10,20,N,,,
2024,53217346,1,2024-03-15,1,90D,29,26,M,10,20,N,,,
2024,53217349,1,2024-03-16,2,90Z,39,36,M,10,20,N,,,
2024,53217352,1,2024-03-07,2,90Z,33,30,F,20,20,N,,,
2024,53217355,1,2024-03-16,1,90D,52,49,M,10,20,R,,,
2024,53217358,1,2024-03-18,3,90Z,51,48,M,10,20,R,,,
2024,53217341,1,2024-03-14,1,90Z,42,39,M,10,20,R,,,
2024,53217360,1,2024-03-20,2,90Z,44,41,F,10,20,R,,,
2024,53217340,1,2024-03-07,3,90D,31,28,M,10,20,R,,,
2024,53217342,1,2024-03-15,2,90Z,27,24,M,20,10,R,,,
2024,53217337,1,2024-03-07,2,90Z,37,34,F,10,40,R,,,
2024,53217345,1,2024-03-26,1,90Z,64,61,M,10,20,R,,,
2024,53217348,1,2024-03-30,1,90D,43,40,M,10,10,N,,,
2024,53217351,1,2024-03-31,3,90Z,48,45,M,10,20,N,,,
2024,53217354,1,2024-03-01,2,90C,79,76,M,10,20,R,,,
2024,53217362,1,2024-03-20,2,90D,37,34,M,10,20,N,,,
2024,53217363,1,2024-03-24,2,90Z,18,15,M,10,20,N,R,,
2024,53217364,1,2024-03-25,1,90D,23,20,M,10,20,N,,,
2024,53502349,1,2024-04-03,3,90Z,52,49,M,10,20,N,,,
2024,53502354,1,2024-04-15,2,90Z,42,39,M,10,20,R,,,
2024,53502356,1,2024-04-21,2,90Z,37,34,M,20,20,R,,,
2024,53502337,1,2024-04-21,2,90J,67,64,M,10,20,R,,,
2024,53502342,1,2024-04-22,3,90Z,34,31,F,10,20,N,,,
2024,53502345,1,2024-04-24,2,90Z,39,36,M,10,20,N,,,
2024,53502350,1,2024-04-24,2,90Z,31,28,M,10,20,R,,,
2024,53502338,1,2024-04-02,2,90Z,44,41,M,40,20,N,,,
2024,53502341,1,2024-04-02,3,90Z,48,45,M,10,20,N,,,
2024,53502357,1,2024-04-29,1,90Z,33,30,M,20,20,N,,,
2024,53502348,1,2024-04-25,2,90Z,32,29,M,10,20,R,,,
2024,53502352,1,2024-04-28,1,90C,27,24,M,10,20,R,,,
2024,53502355,1,2024-04-28,1,90Z,24,21,M,10,20,N,,,
2024,53502363,1,2024-04-24,2,90Z,36,33,M,10,20,R,,,
2024,53502359,1,2024-04-19,2,90Z,43,40,M,10,20,N,,,
2024,53502362,1,2024-04-20,1,90D,33,30,M,10,20,N,,,
2024,53502365,1,2024-04-20,2,90D,57,54,F,10,20,N,,,
2024,53905198,1,2024-05-04,3,90Z,28,25,M,10,20,N,,25,
2024,53905572,1,2024-05-22,3,90Z,34,31,M,10,20,N,,31,
2024,53905692,1,2024-05-10,2,90D,22,19,M,10,20,N,,19,
2024,53905697,1,2024-05-20,1,90D,40,37,F,10,20,N,,37,
2024,53905703,1,2024-05-24,1,90D,75,72,M,10,20,N,,72,
2024,53905707,1,2024-05-26,2,90Z,55,52,F,10,20,N,,52,
2024,53905693,1,2024-05-12,1,90Z,38,35,M,10,20,R,,35,
2024,55211122,1,2024-05-19,2,90D,45,42,M,10,20,R,,42,
2024,54353620,1,2024-06-22,1,90Z,39,36,M,10,20,N,,36,
2024,54353624,1,2024-06-15,2,90Z,43,40,F,10,20,N,,40,
2024,53905201,1,2024-06-04,1,90C,25,22,F,10,20,N,,22,
2024,53905203,1,2024-06-05,2,90J,36,33,M,10,20,R,,33,
2024,53905204,1,2024-06-06,1,90Z,43,40,M,10,20,N,,40,
2024,53905206,1,2024-06-06,3,90Z,45,42,M,20,20,N,,42,
2024,53905208,1,2024-06-08,1,90Z,34,31,M,10,20,R,,31,
2024,53905210,1,2024-06-09,3,90Z,36,33,M,10,20,R,,33,
2024,53905212,1,2024-06-12,1,90D,24,21,M,10,20,R,,21,
2024,53905200,1,2024-06-18,2,90Z,45,42,M,10,20,N,,42,
2024,53905197,1,2024-06-14,2,90G,16,13,F,10,20,N,R,13,
2024,53905199,1,2024-06-18,3,90Z,50,47,M,10,20,R,,47,
2024,53905202,1,2024-06-21,1,90D,64,61,M,10,20,N,,61,
2024,53905207,1,2024-06-22,1,90D,60,57,F,20,20,N,,57,
2024,53905209,1,2024-06-26,3,90Z,45,42,M,10,20,N,,42,
2024,53905211,1,2024-06-23,2,90Z,45,42,M,10,20,N,,42,
2024,53905213,1,2024-06-27,3,90D,65,62,M,10,20,N,,62,
2024,53905215,1,2024-06-18,2,90Z,51,48,F,10,20,R,,48,
2024,53905568,1,2024-06-10,3,90Z,57,54,M,10,20,R,,54,
2024,53905582,1,2024-06-04,1,90D,29,26,M,20,20,N,,26,
2024,53905589,1,2024-06-04,1,90C,48,45,F,10,20,N,,45,
2024,54353586,1,2024-07-12,3,90Z,40,37,M,10,20,R,,37,
2024,54353587,1,2024-07-15,1,90D,36,33,F,10,20,N,,33,
2024,54353588,1,2024-07-19,1,90Z,38,35,M,10,20,R,,35,
2024,54353602,1,2024-07-10,1,90D,41,38,F,10,20,N,,38,
2024,54353605,1,2024-07-11,3,90Z,56,53,F,10,20,N,,53,
2024,54353634,1,2024-07-25,1,90Z,28,25,M,10,20,R,,25,
2024,54353635,1,2024-07-26,1,90Z,35,32,F,10,20,R,,32,
2024,54353636,1,2024-07-28,1,90D,25,22,M,20,20,R,,22,
2024,54353637,1,2024-07-28,1,90Z,34,31,F,10,20,N,,31,
2024,54353630,1,2024-07-07,3,90Z,37,34,M,10,20,R,,34,
2024,54353598,1,2024-07-07,3,90Z,39,36,M,10,20,R,,36,
2024,54353627,1,2024-07-01,1,90Z,23,20,M,10,20,N,,20,
2024,54353629,1,2024-07-07,2,90D,67,64,F,10,20,R,,64,
2024,54353591,1,2024-07-21,3,90Z,30,27,M,10,20,N,,27,
2024,54353600,1,2024-07-07,3,90Z,39,36,M,10,20,N,,36,
2024,55211137,1,2024-07-22,1,90D,27,24,M,10,20,N,,24,
2024,55211151,1,2024-07-25,2,90Z,50,47,M,10,20,N,,47,
2024,55211110,1,2024-08-25,3,90Z,58,55,M,10,20,N,,55,
2024,55211113,1,2024-08-26,3,90Z,53,50,M,10,20,N,,50,
2024,55211121,1,2024-08-12,2,90Z,35,32,M,10,20,N,,32,
2024,55211124,1,2024-08-15,1,90Z,59,56,M,10,20,R,,56,
2024,55211105,1,2024-08-20,1,90D,39,36,M,10,20,R,,36,
2024,55211107,1,2024-08-21,1,90Z,64,61,M,10,20,R,,61,
2024,55211108,1,2024-08-22,1,90C,86,83,M,10,20,R,,83,
2024,55211109,1,2024-08-23,2,90Z,22,19,F,10,20,N,,19,
2024,55211098,1,2024-08-15,2,90G,21,18,F,10,20,N,,18,
2024,55211100,1,2024-08-17,1,90Z,23,20,M,10,20,N,,20,
2024,55211097,1,2024-08-07,1,90Z,32,29,M,10,20,N,,29,
2024,55211102,1,2024-08-10,1,90D,60,57,M,10,20,R,,57,
2024,55211156,1,2024-08-02,1,90Z,63,60,M,10,20,R,,60,
2024,55211166,1,2024-08-04,3,90Z,30,27,M,10,20,U,,27,
2024,55211161,1,2024-08-03,2,90Z,40,37,M,10,20,N,,37,
2024,55547528,1,2024-08-08,2,90D,48,45,M,10,20,R,,45,
2024,55547532,1,2024-08-20,2,90Z,28,25,M,10,20,N,,25,
2024,55547516,1,2024-08-24,2,90D,72,69,M,10,20,R,,69,
2024,55211115,1,2024-09-04,2,90Z,33,30,M,10,20,R,,30,
2024,55211125,1,2024-09-06,1,90D,61,58,F,10,20,R,,58,
2024,55211120,1,2024-09-05,1,90Z,50,47,M,10,20,N,,47,
2024,55211101,1,2024-09-10,2,90Z,53,50,M,10,20,N,,50,
2024,55211106,1,2024-09-15,3,90Z,46,43,M,10,10,R,,43,
2024,55211103,1,2024-09-15,2,90Z,31,28,F,10,20,R,,28,
2024,55211119,1,2024-09-17,3,90Z,47,44,M,10,20,N,,44,
2024,55211123,1,2024-09-19,3,90Z,65,62,M,10,20,R,,62,
2024,55211126,1,2024-09-20,2,90D,38,35,M,10,20,N,,35,
2024,55211129,1,2024-09-26,3,90Z,32,29,F,10,20,N,,29,
2024,55211114,1,2024-09-16,1,90Z,33,30,F,10,20,R,,30,
2024,55547534,1,2024-09-24,2,90Z,32,29,F,10,20,R,,29,
2024,55547537,1,2024-09-17,2,90Z,29,26,M,10,20,N,,26,
2024,55547512,1,2024-10-27,1,90D,34,31,F,10,20,N,,31,
