data_year,offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,age_range_low_num,age_range_high_num
2024,230680390,202645427,1,34,31,M,10,50,31,
2024,215883918,189719191,0,104,NS,X,99,50,,
2024,228797244,201005549,1,71,68,M,10,50,68,
2024,228797254,201005559,0,104,NS,X,99,50,,
2024,228797264,201005569,1,36,33,M,10,50,33,
2024,228797222,201005528,0,104,NS,X,99,50,,
2024,215883922,189719196,0,104,NS,X,99,50,,
2024,228797233,201005538,0,104,NS,X,99,50,,
2024,228797247,201005552,0,104,NS,X,99,50,,
2024,228797246,201005551,1,40,37,F,10,50,37,
2024,215883928,189719201,1,59,56,M,10,50,56,
2024,228797263,201005568,1,46,43,M,10,50,43,
2024,228797275,201005578,0,104,NS,X,99,50,,
2024,228797286,201005589,0,104,NS,X,99,50,,
2024,228797300,201005603,1,46,43,M,10,50,43,
2024,215883936,189719208,0,104,NS,X,99,50,,
2024,228797322,201005625,1,16,13,M,10,50,13,
2024,228797335,201005637,0,104,NS,X,99,50,,
2024,228797348,201005649,1,50,47,M,10,50,47,
2024,228797366,201005665,1,45,42,M,10,50,42,
2024,228797378,201005676,0,104,NS,X,99,50,,
2024,228797395,201005691,0,104,NS,X,99,50,,
2024,228797267,201005571,1,40,37,M,10,50,37,
2024,228797268,201005571,2,44,41,M,20,50,41,
2024,228797278,201005581,1,39,36,M,10,50,36,
2024,228797293,201005596,0,104,NS,X,99,50,,
2024,228797310,201005614,0,104,NS,X,99,50,,
2024,228797327,201005630,0,104,NS,X,99,50,,
2024,218055172,191623407,1,20,17,M,10,50,17,
2024,215883929,189719203,1,32,29,M,10,50,29,
2024,214142161,188189815,1,35,32,M,10,50,32,
2024,218055121,191623361,1,69,66,M,10,50,66,
2024,228797344,201005644,1,43,40,M,10,50,40,
2024,228797356,201005656,1,62,59,M,20,50,59,
2024,218055130,191623368,1,18,15,M,10,50,15,
2024,230680334,202645373,0,104,NS,X,99,50,,
2024,228797350,201005650,0,104,NS,X,99,50,,
2024,230680358,202645395,1,47,44,M,10,50,44,
2024,228797379,201005677,1,20,17,M,10,50,17,
2024,228797380,201005677,2,20,17,M,10,50,17,
2024,228797381,201005677,3,18,15,M,10,50,15,
