data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,1,182220654,1.000,1,17428079
2024,16,199031183,2.000,1,19900238
2024,4,185126874,1.000,1,17878989
2024,16,186362437,9.000,1,18057116
2024,5,186362449,3.000,9,18057119
2024,16,186362449,845.000,9,18057120
2024,8,183512776,0.800,1,17627207
2024,17,183512776,15.750,1,17627208
2024,1,182220645,4.100,1,17428077
2024,8,183512765,1.000,11,17627204
2024,16,187838430,14.000,9,18283835
2024,2,192960959,1.000,1,19035857
2024,12,192960959,1.000,1,19035858
2024,12,187838450,1.700,1,18283840
2024,12,189458536,10.000,1,18531054
2024,8,186362433,1.300,1,18057115
2024,12,189458544,1.300,1,18531056
2024,12,189458555,0.100,1,18531058
2024,4,192960933,5.000,1,19035847
2024,12,192960933,8.000,1,19035848
2024,8,192960950,6.000,1,19035853
2024,2,186362500,1.000,1,18057125
2024,12,182220698,0.400,1,17428085
2024,1,182220705,0.400,1,17428087
2024,16,182220705,44.000,9,17428088
2024,8,199031286,17.000,1,19900244
2024,8,194354462,0.650,1,19231415
2024,8,194354506,3.000,1,19231419
2024,2,199031420,0.002,2,19900263
2024,8,199031400,5.000,1,19900258
2024,2,187838567,4.400,1,18283870
2024,1,183512808,0.000,1,17627216
2024,12,182220702,52.000,1,17428086
2024,5,183512803,2509.000,10,17627214
2024,2,183513563,2.100,1,17627377
2024,17,183513563,0.200,1,17627378
2024,1,183513585,0.700,1,17627385
2024,8,183513585,1.800,1,17627386
2024,12,199040263,1.000,9,19901784
2024,1,183513604,23.008,1,17627395
2024,8,183513604,104.008,1,17627396
2024,16,183513604,17.000,9,17627397
2024,1,199040250,26.900,1,19901780
2024,2,199040250,39.100,1,19901781
2024,12,199040321,0.400,1,19901785
2024,8,199040414,1.400,1,19901799
2024,1,199040369,24.400,1,19901790
2024,1,199040340,0.700,1,19901787
2024,1,199040372,0.800,1,19901791
2024,8,199040372,4.400,1,19901792
2024,12,199040401,3.000,1,19901797
2024,1,199040374,29.000,1,19901793
2024,8,199040374,12.500,1,19901794
2024,16,199040383,13.000,9,19901795
2024,1,183513573,0.300,1,17627382
2024,1,183513594,70.800,1,17627389
2024,2,183513594,55.500,1,17627390
2024,9,183513636,1.000,9,17627400
2024,16,183513636,8.001,1,17627401
2024,1,183513676,68.009,1,17627407
2024,2,183513676,57.400,1,17627408
2024,12,183513590,16.004,1,17627388
2024,2,187839634,0.600,1,18284134
2024,8,194356950,8.900,1,19231882
2024,1,183513662,5.500,1,17627405
2024,1,192964013,0.400,1,19036327
2024,12,187839724,1.000,1,18284150
2024,16,187839609,2.600,1,18284124
2024,12,187839640,0.100,1,18284135
2024,8,187839686,0.004,1,18284141
2024,5,199040487,1.000,11,19901806
2024,1,194357348,0.500,1,19231916
2024,8,187839726,22.000,9,18284151
2024,8,187839726,206.002,1,18284152
2024,16,187839726,123.000,9,18284153
2024,1,194357366,0.800,1,19231918
2024,8,194357366,91.700,1,19231919
2024,2,187839751,0.300,1,18284161
2024,12,187839766,2.100,1,18284168
2024,2,194357372,91.200,1,19231922
2024,8,194357372,11.001,1,19231923
2024,1,190668467,0.010,1,18703645
2024,8,190668467,10.490,1,18703646
2024,8,190668422,0.400,1,18703638
2024,12,190668422,3.008,1,18703639
2024,16,190668422,8.000,9,18703640
2024,1,183513760,2.200,1,17627427
2024,8,183513760,10.001,1,17627428
2024,12,183513760,3.600,1,17627429
2024,8,192963996,0.200,1,19036322
2024,12,192963996,0.200,1,19036323
2024,1,190668588,0.600,1,18703667
2024,2,190668603,2.500,1,18703669
2024,8,190668603,2.000,9,18703670
2024,1,190668549,22.500,8,18703660
2024,1,190668549,1.002,1,18703661
2024,12,190668540,2.400,1,18703658
2024,1,190668484,1.000,1,18703650
2024,8,190668484,0.500,1,18703651
2024,12,190668484,2.400,1,18703652
2024,1,183513744,0.700,1,17627421
2024,8,183513744,4.006,1,17627422
2024,1,187839835,0.400,1,18284180
2024,8,187839835,1.002,1,18284181
2024,12,183513825,21.000,1,17627434
2024,16,183513825,0.400,1,17627435
2024,8,190668513,3.004,1,18703654
2024,1,190668537,0.200,1,18703657
2024,12,190668604,0.400,1,18703671
2024,4,190668612,1.000,8,18703673
2024,8,192964033,1.300,1,19036330
2024,12,192964033,0.200,1,19036331
2024,8,192964055,9.004,1,19036336
2024,16,192964055,20.000,5,19036337
2024,1,192964063,2.400,1,19036338
2024,2,192964063,22.600,1,19036339
2024,8,192964063,5.500,1,19036340
2024,16,192964078,0.600,1,19036346
