data_year,victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,age_range_low_num,age_code_range_high
2024,225836423,202645427,1,4,,,,31,28,F,10,20,N,28,
2024,210986892,189719191,1,4,,,,41,38,F,10,20,R,38,
2024,223964438,201005549,1,4,,,,50,47,M,10,20,R,47,
2024,223964448,201005559,1,4,,,,55,52,M,10,20,R,52,
2024,223964461,201005569,1,4,,,,35,32,F,10,20,R,32,
2024,223964415,201005528,1,4,,,,74,71,M,10,20,R,71,
2024,210986896,189719196,1,4,,,,20,17,F,10,20,R,17,
2024,223964427,201005538,1,4,,,,58,55,F,10,20,R,55,
2024,223964441,201005552,1,4,,,,70,67,F,10,20,R,67,
2024,223964440,201005551,1,4,,,,28,25,F,20,20,R,25,
2024,210986903,189719201,1,4,,,,10,07,M,20,20,R,07,
2024,223964459,201005568,1,4,,,,46,43,F,10,20,R,43,
2024,223964460,201005568,2,4,,,,45,42,M,10,20,R,42,
2024,223964470,201005578,1,4,,,,33,30,M,10,20,R,30,
2024,223964482,201005589,1,4,,,,36,33,M,10,20,R,33,
2024,223964496,201005603,1,4,,,,53,50,M,10,20,R,45,55
2024,210986910,189719208,1,4,,,,31,28,F,10,20,N,28,
2024,223964519,201005625,1,4,,,,17,14,F,10,20,N,14,
2024,223964520,201005625,2,4,,,,18,15,F,10,20,N,15,
2024,223964533,201005637,1,4,,,,38,35,M,10,20,N,35,
2024,223964545,201005649,1,4,,,,69,66,F,10,20,R,66,
2024,223964564,201005665,1,4,,,,41,38,F,10,20,N,38,
2024,223964577,201005676,1,4,,,,55,52,F,10,20,R,52,
2024,223964594,201005691,1,4,,,,62,59,F,10,20,R,59,
2024,223964463,201005571,1,4,,,,64,61,M,10,20,N,61,
2024,223964473,201005581,1,1,,,,104,NS,X,99,50,,,
2024,223964489,201005596,1,1,,,,104,NS,X,99,50,,,
2024,223964507,201005614,1,4,,,,3,BB,M,10,20,N,,
2024,223964525,201005630,1,1,,,,104,NS,X,99,50,,,
2024,213176083,191623407,1,4,,,,67,64,F,10,20,R,64,
2024,210986904,189719203,1,4,,,,12,09,F,10,20,R,09,
