data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2023,57412839,188596900,1,2023-08-03,1,N,09A,23,20,M,10,20,R,,,20,
2023,54507180,180033641,1,2023-05-18,3,N,09A,30,27,M,10,20,N,,,27,
2023,57413934,188600140,1,2023-12-17,1,N,09A,41,38,M,10,20,N,,,38,
2023,57412576,188596256,1,2023-12-18,3,N,09A,41,38,M,10,20,R,,,38,
2023,57413708,188599295,1,2023-02-03,1,N,09A,47,44,M,10,10,,,,44,
2023,57413391,188598467,1,2023-07-06,1,N,09A,29,26,M,10,20,,,,26,
2023,57410397,188589912,1,2023-05-11,3,N,09A,68,65,F,10,20,N,,,65,
2023,57410398,188589912,2,2023-05-16,3,N,09A,68,65,F,10,20,N,,,65,
2023,54508311,180036906,1,2023-07-03,3,N,09A,28,25,M,20,20,R,,,25,
2023,52915939,175126836,1,2023-01-28,3,N,09A,25,22,M,10,20,N,,,22,
2023,57450638,188706864,1,2023-12-31,1,N,09A,29,26,M,10,20,R,,,26,
