data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2023,171164129,10,,,
2023,182556242,10,,,
2023,182556261,10,,,
2023,182556282,10,,,
2023,182556163,60,530,,
2023,182556173,9,0,,
2023,182556183,10,,,
2023,182556204,10,,,
2023,182556193,10,,,
2023,182556224,10,,,
2023,182556224,22,0,,
2023,182556240,10,,,
2023,182556256,10,,,
2023,171164169,10,,,
2023,165243602,63,40,,
2023,165243607,22,0,,
2023,165243613,63,45,,
2023,165243535,63,750,,
2023,182556290,3,1,,
2023,182556290,63,1,,
2023,165243545,63,500,,
2023,182556238,3,1,,
2023,182556238,63,1,,
2023,182556255,10,,,
2023,182556255,25,1,,
2023,182556255,63,1,,
2023,182556273,10,,,
2023,170953064,62,3,,
2023,170953072,3,1,,
2023,170953084,63,50,,
2023,170953096,63,1200,,
2023,170953102,62,2,,
2023,170953108,10,,,
2023,170953127,10,,,
2023,170953133,10,,,
2023,171164085,10,,,
2023,182553802,10,,,
2023,182553827,10,,,
2023,182553874,10,,,
2023,182553874,11,2,,
2023,170951407,20,13629,,
2023,182552405,10,,,
2023,182552472,3,15000,,
2023,182552473,38,200,,
2023,182552495,2,1,2023-11-16,
2023,182552496,2,1,,
2023,170951422,20,92000,,
2023,182552521,10,,,
2023,182552548,10,,,
2023,170951432,62,500,,
2023,182552322,8,3,,
2023,182552322,10,,,
2023,182552322,25,1,,
2023,170951445,10,,,
2023,182552347,10,,,
2023,182552372,10,,,
2023,170951459,52,0,,
2023,170951475,7,19,,
2023,170951454,35,35,,
2023,170951481,29,200,,
2023,170951438,10,,,
2023,170951456,20,70000,,
2023,170951453,63,700,,
2023,170951469,23,2,,
2023,170951443,63,100,,
2023,171163122,8,88,,
2023,171163133,63,200,,
2023,171163139,63,4650,,
2023,170951477,20,6290,,
2023,182552419,3,3000,,
2023,182552419,10,,,
2023,182552419,63,40,,
2023,171163090,10,,,
2023,171163095,16,400,,
2023,171163095,36,500,,
2023,182552460,3,2000,,
2023,171163104,20,10,,
2023,171163129,63,1,,
2023,171163094,35,1,,
2023,171163107,21,4500,,
2023,171163114,29,55,,
2023,171163120,63,100,,
2023,182552339,63,100,,
2023,182552357,30,200,,
2023,182552388,33,100,,
2023,182552408,44,200,,
2023,182552431,63,50,2023-07-16,
2023,182552432,63,50,,
2023,182552448,38,300,,
2023,182552464,7,500,,
2023,182552484,20,20,2023-07-18,
2023,182552485,20,20,,
2023,182552349,20,117,,
2023,171163126,10,,,
2023,182552377,7,1500,,
2023,182552378,7,250,,
2023,182552406,19,10,,
2023,182552441,33,500,,
2023,182552462,10,,,
2023,182552478,29,200,,
2023,171163135,10,,,
2023,182552515,33,100,,
2023,182552540,3,100,,
2023,182552512,37,2000,,
2023,170951492,63,100,,
2023,182552535,63,1,,
2023,182552344,21,459,,
2023,171163143,29,200,,
2023,182552363,3,8000,2023-08-22,
2023,182552364,3,8000,,
2023,182552389,65,29,,
2023,182552390,64,4000,2023-08-23,
2023,182552391,64,4000,,
2023,182552423,20,153,,
2023,182552513,6,200,,
2023,182552513,13,1500,,
2023,182552513,54,400,,
2023,182552551,29,1,,
2023,182552426,3,20000,2023-10-04,
2023,182552427,3,20000,,
2023,182552453,8,34,2023-10-07,
2023,182552454,8,38,,
2023,182552442,20,100,,
2023,182552369,10,,,
2023,182552504,63,20,,
2023,182552505,63,400,,
2023,182552554,38,500,,
2023,182552351,23,200,,
2023,182552351,33,200,,
2023,182552467,38,544,,
2023,182552498,3,20000,,
2023,182552517,36,500,,
2023,182552532,3,15500,2023-11-29,
2023,182552532,15,16000,2023-11-29,
2023,182552532,54,1000,2023-11-29,
2023,182552532,62,800,2023-11-29,
2023,182552589,10,,,
2023,182552601,2,1,,
2023,182552395,63,700,,
2023,182552574,63,500,,
2023,182552382,20,500,,
2023,182552400,20,3523,,
2023,182552446,29,1,,
2023,182552463,29,1,,
2023,182552482,33,100,,
2023,182552483,10,,,
2023,170951474,63,1500,,
2023,170951479,16,200,,
2023,182552509,10,,,
2023,182552546,19,132,2023-08-29,
2023,182552547,19,132,,
2023,182552486,3,5000,,
2023,182552486,16,4300,,
2023,182552486,38,1000,,
2023,182552575,10,,,
2023,170951505,63,500,,
2023,170951507,29,200,,
2023,182556176,38,2200,,
2023,170712813,20,327,,
2023,170712824,3,1500,,
2023,171164822,63,5,,
2023,170712673,63,100,,
2023,171164845,42,5000,,
2023,171164854,3,5000,,
2023,171164860,9,0,,
2023,171164874,27,1,,
2023,171164874,36,150,,
2023,171164874,38,300,,
2023,171164874,42,50,,
2023,171164874,43,700,,
2023,171164874,54,1150,,
2023,171164874,55,200,,
2023,182556199,61,500,,
2023,171164903,20,10000,,
2023,182556161,24,12000,,
2023,182556161,38,1500,,
2023,182556191,26,169,,
2023,182556191,36,557,,
2023,182556191,54,1494,,
2023,182556191,63,546,,
2023,171165023,20,250,,
2023,177992180,3,5250,,
2023,177992180,38,100,,
2023,177992181,3,30000,,
2023,171164776,38,20,,
2023,171164788,63,600,,
2023,177992219,3,800,,
2023,177992220,44,45,,
2023,171164807,61,1000,,
2023,177992245,63,2100,,
2023,177992155,3,370,,
2023,177992156,50,70,,
2023,171164772,63,270,,
2023,165243469,16,40,,
2023,165243470,16,10653,,
2023,165243470,17,110,,
2023,165243470,20,1800,,
2023,165243470,36,3293,,
2023,165243470,38,310,,
2023,165243470,42,80,,
2023,165243470,45,50,,
2023,165243470,50,320,,
2023,165243470,57,40,,
2023,165243470,66,20,,
2023,177992167,19,17,,
2023,177992171,20,491,,
2023,177992188,4,900,2023-07-08,
2023,177992189,4,900,,
2023,177992197,3,4000,,
2023,177992201,4,10,,
2023,177992201,6,140,,
2023,177992201,16,7,,
2023,177992201,27,3,,
2023,177992201,45,25,,
2023,177992201,58,3,,
2023,177992201,63,62,,
2023,177992186,3,5000,,
2023,177992186,38,50,,
2023,177992195,8,5,,
2023,177992202,38,2200,,
2023,177992209,63,50,,
2023,177992214,63,50,,
2023,177992222,8,80,2023-07-25,
2023,177992223,8,100,,
2023,177992165,1,1000,,
2023,177992165,63,20,,
2023,177992174,63,2,,
2023,177992175,13,75,,
2023,177992175,26,300,,
2023,177992175,36,195,,
2023,177992175,63,3,,
2023,177992243,35,500,,
2023,177992268,20,154,,
2023,177992289,3,25000,,
2023,177992190,26,18,,
2023,177992198,20,2000,,
2023,177992211,19,100,,
2023,177992221,3,5000,,
2023,177992228,63,500,,
2023,177992242,63,30,,
2023,170712681,20,50,,
2023,170712681,36,1,,
2023,170712681,64,1,,
2023,177992249,3,500,,
2023,177992250,38,30,,
2023,177992261,65,500,,
2023,177992205,3,10000,2023-09-19,
2023,177992252,3,1001,2023-09-28,
2023,182556208,20,100,,
2023,182556246,63,700,,
2023,182556281,63,500,,
2023,182556172,63,10,,
2023,182556258,29,10,,
2023,182556186,50,75,,
2023,182556211,8,7,2023-10-23,
2023,182556212,8,7,,
2023,182556233,3,2000,,
2023,182556202,3,100,,
2023,182556275,63,100,,
2023,182556291,63,300,,
2023,182556260,38,20,,
2023,182556292,63,60,,
2023,182556225,15,100,,
2023,182556236,6,20,,
2023,182556257,63,25,,
2023,182556285,63,1,,
2023,177992265,3,100,,
2023,166722971,20,800,,
2023,165243507,10,,,
2023,165243518,21,50,,
2023,166723009,10,,,
2023,167851842,3,8000,,
