data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,16,171164129,1.000,11,15896887
2023,17,182556242,1.000,11,17475959
2023,17,182556261,1.000,11,17475963
2023,12,182556282,1.000,11,17475968
2023,16,182556183,1.000,11,17475944
2023,4,182556204,2.250,1,17475946
2023,8,182556204,2.000,9,17475947
2023,12,182556204,1.900,1,17475948
2023,12,182556193,1.000,11,17475945
2023,12,182556224,0.075,1,17475954
2023,12,182556240,1.000,11,17475956
2023,4,182556256,3.990,1,17475962
2023,12,171164169,1.000,11,15896892
2023,12,182556255,1.000,1,17475961
2023,12,182556273,2.000,1,17475965
2023,16,170953108,1.000,11,15867414
2023,4,170953127,1.000,11,15867425
2023,16,170953133,1.000,11,15867427
2023,12,171164085,1.000,11,15896880
2023,4,182553802,6.000,1,17475426
2023,16,182553802,39.000,9,17475427
2023,4,182553827,1.000,1,17475434
2023,12,182553874,3.000,1,17475452
2023,5,182552405,1.000,9,17475113
2023,5,182552521,0.750,3,17475124
2023,16,182552548,13.000,9,17475131
2023,5,182552322,2.800,1,17475099
2023,5,170951445,1.000,11,15867039
2023,5,182552347,1.000,9,17475105
2023,5,182552372,1.000,7,17475108
2023,16,182552372,1.000,9,17475109
2023,5,170951438,1.000,1,15867038
2023,5,182552419,1.000,3,17475115
2023,8,182552419,1.000,3,17475116
2023,5,171163090,1.000,11,15896713
2023,5,171163126,0.200,3,15896718
2023,5,182552462,3.000,3,17475118
2023,12,171163135,2.950,1,15896719
2023,8,182552369,1.000,9,17475107
2023,12,182552589,1.300,1,17475146
2023,5,182552483,1.000,3,17475119
2023,5,182552509,1.000,9,17475121
2023,5,182552575,8.000,10,17475139
2023,5,165243507,1.000,1,15039467
2023,2,166723009,6.000,1,15259074
2023,7,177992292,40.000,9,16820773
2023,5,165243536,1.000,1,15039472
2023,5,182556241,1.000,9,17475957
2023,16,182556241,1.000,9,17475958
2023,5,167851929,1.000,3,15419784
2023,16,167851929,1.000,9,15419785
2023,5,166723357,1.000,1,15259126
2023,16,166723357,2.000,9,15259127
2023,12,170951727,1.000,11,15867111
2023,12,170951732,1.000,1,15867114
2023,5,165242487,3.000,1,15039244
2023,5,170951783,1.000,1,15867131
2023,8,171163168,1.000,1,15896723
2023,12,171163168,1.000,1,15896724
2023,5,170951805,1.000,11,15867137
2023,17,170951805,1.000,11,15867138
2023,17,182552668,165.000,9,17475167
2023,16,171163174,21.000,9,15896726
2023,5,165242504,1.000,11,15039252
2023,12,165242504,1.000,11,15039253
2023,17,165242504,1.000,11,15039254
2023,5,170951687,1.000,11,15867094
2023,5,170951698,1.000,1,15867095
2023,17,170951707,1.000,11,15867099
2023,8,170951745,492.000,1,15867118
2023,12,170951745,36.000,1,15867119
2023,8,171163185,1.000,1,15896729
2023,8,171163200,1.000,1,15896732
2023,4,171163208,1.000,1,15896737
2023,12,171163208,1.000,1,15896738
2023,16,171163208,1.000,9,15896739
2023,4,171163212,3.000,1,15896740
2023,17,171163212,1.000,1,15896741
2023,5,170951768,1.000,1,15867122
2023,17,170951779,1.000,11,15867130
2023,17,171163225,6.000,9,15896743
2023,4,171163156,3.080,1,15896721
2023,8,182552741,5.400,1,17475189
2023,12,182552605,1.000,11,17475151
2023,5,171163179,1.000,1,15896727
2023,5,171163194,1.000,11,15896731
2023,5,182552697,3.000,1,17475176
2023,5,171163204,1.000,11,15896733
2023,5,171163167,1.000,11,15896722
2023,8,182552692,2.000,9,17475170
2023,12,182552692,0.000,1,17475171
2023,4,171163180,1.000,11,15896728
2023,12,182552655,1.000,1,17475163
2023,8,182552693,1.000,1,17475172
2023,12,182552693,1.000,9,17475173
2023,12,182552693,1.000,1,17475174
2023,17,171163187,1.000,11,15896730
2023,4,170951824,1.000,1,15867148
2023,5,182552629,3.000,1,17475157
2023,12,182552629,1.000,1,17475158
2023,5,182552698,2.000,10,17475177
2023,2,182552716,0.710,3,17475184
2023,12,182552716,26.409,3,17475185
2023,8,182552696,1.000,1,17475175
2023,5,182552712,1.000,11,17475181
2023,17,182552774,1.000,11,17475203
2023,5,170951868,1.000,11,15867165
2023,12,170951868,1.000,11,15867166
2023,5,182552800,5.000,9,17475208
2023,5,182552787,1.000,9,17475206
2023,5,182552768,3.000,9,17475199
2023,5,182552776,1.000,9,17475204
2023,12,170951796,1.000,1,15867136
2023,8,182552828,1.000,1,17475215
2023,5,182552844,1.000,11,17475222
2023,5,182552996,2.000,1,17475253
2023,5,182552876,1.000,11,17475228
2023,5,182552912,1.000,11,17475239
2023,8,182552930,1.000,1,17475241
2023,12,182552930,1.000,1,17475242
2023,8,182552820,1.000,1,17475211
2023,12,182552820,2.000,1,17475212
2023,8,182552834,0.300,3,17475219
2023,12,182552834,0.300,3,17475220
2023,17,182552834,1.000,11,17475221
2023,12,182552892,1.000,8,17475232
2023,12,182552892,1.000,1,17475233
2023,12,170951826,1.000,1,15867149
2023,8,170951790,44.000,1,15867132
2023,12,170951790,9.500,1,15867133
2023,16,170951790,1.000,11,15867134
2023,5,170951817,1.000,1,15867143
2023,12,182552833,2.000,1,17475216
2023,17,182552833,1.000,11,17475217
2023,12,170713687,1.000,11,15832100
2023,12,182551248,1.000,11,17474803
2023,5,182551367,9.000,1,17474828
2023,12,170951508,1.000,1,15867053
2023,12,171162842,1.000,3,15896637
2023,5,171162835,1.000,11,15896634
2023,5,170951280,1.000,1,15867011
2023,5,170951256,2.000,5,15867008
2023,5,170951303,1.000,11,15867016
2023,3,182551308,103.000,1,17474817
2023,5,182551308,3.000,1,17474818
2023,5,182551352,1.000,11,17474826
