data_year,agency_id,incident_id,nibrs_month_id,cargo_theft_flag,submission_date,incident_date,report_date_flag,incident_hour,cleared_except_id,cleared_except_date,incident_status,data_home,orig_format,did
2023,11829,175378586,44553329,f,2023-08-14 15:38:37.585,2023-05-25,f,9,6,,ACCEPTED,,F,200274790
2023,11829,188598774,44553329,f,2024-03-28 20:37:48.308,2023-05-15,f,15,6,,ACCEPTED,,F,240749103
2023,11829,188598788,44802163,f,2024-03-28 20:37:48.528,2023-06-08,f,8,6,,ACCEPTED,,F,240749154
2023,11829,188598811,44802163,f,2024-03-28 20:37:48.889,2023-06-15,f,12,6,,ACCEPTED,,F,240749208
2023,11829,188598835,44802165,f,2024-03-28 20:37:49.184,2023-07-05,f,14,6,,ACCEPTED,,F,240749263
2023,11829,175129550,44553332,f,2023-08-08 17:01:40.161,2023-03-29,f,16,6,,ACCEPTED,,F,199377461
2023,11829,188598696,44802165,f,2024-03-28 20:37:46.999,2023-07-25,f,8,6,,ACCEPTED,,F,240748829
2023,11829,188598708,44802165,f,2024-03-28 20:37:47.238,2023-07-15,t,21,6,,ACCEPTED,,F,240748873
2023,11829,188598720,44802166,f,2024-03-28 20:37:47.478,2023-08-07,t,10,6,,ACCEPTED,,F,240748908
2023,11829,188598735,44802167,f,2024-03-28 20:37:47.73,2023-09-03,f,23,6,,ACCEPTED,,F,240748965
2023,11829,188598745,44802167,f,2024-03-28 20:37:47.95,2023-09-08,f,14,6,,ACCEPTED,,F,240749016
2023,11829,188598707,44802167,f,2024-03-28 20:37:47.23,2023-09-13,f,18,6,,ACCEPTED,,F,240748870
2023,11829,188598718,44802167,f,2024-03-28 20:37:47.482,2023-09-18,f,9,6,,WARNINGS,,F,240748911
2023,11829,188598731,44802168,f,2024-03-28 20:37:47.693,2023-10-07,f,10,6,,ACCEPTED,,F,240748958
2023,11829,188598746,44802168,f,2024-03-28 20:37:47.947,2023-10-10,f,11,6,,ACCEPTED,,F,240749011
2023,11829,188598767,44802168,f,2024-03-28 20:37:48.184,2023-10-16,f,13,6,,ACCEPTED,,F,240749072
2023,11829,188598786,44802171,f,2024-03-28 20:37:48.405,2023-11-10,f,8,6,,ACCEPTED,,F,240749131
2023,11829,175129542,44553334,f,2023-08-08 17:01:40.071,2023-04-27,f,8,6,,ACCEPTED,,F,199377449
2023,11829,188598804,44802174,f,2024-03-28 20:37:48.746,2023-12-15,f,11,6,,ACCEPTED,,F,240749192
2023,11829,188598823,44802174,f,2024-03-28 20:37:49.037,2023-12-16,f,16,6,,ACCEPTED,,F,240749244
2023,11829,175378636,44553329,f,2023-08-14 15:38:38.979,2023-05-01,f,11,6,,ACCEPTED,,F,200274895
2023,11829,168518891,44347807,f,2023-03-23 19:33:20.601,2023-01-18,f,17,6,,ACCEPTED,,F,180408605
2023,11829,168518904,44347807,f,2023-03-23 19:33:20.972,2023-01-16,f,15,6,,ACCEPTED,,F,180408648
2023,11829,168518910,44347807,f,2023-03-23 19:33:21.138,2023-01-23,f,4,6,,ACCEPTED,,F,180408668
2023,11829,168518776,44347807,f,2023-03-23 19:33:18.389,2023-01-11,f,16,6,,ACCEPTED,,F,180408377
2023,11829,168518804,44347807,f,2023-03-23 19:33:18.778,2023-01-28,f,21,6,,ACCEPTED,,F,180408413
2023,11829,188598844,44802166,f,2024-03-28 20:37:49.3,2023-08-18,f,14,6,,ACCEPTED,,F,240749298
2023,11829,168518821,44347807,f,2023-03-23 19:33:19.213,2023-01-30,f,14,6,,ACCEPTED,,F,180408445
2023,11829,188598784,44802166,f,2024-03-28 20:37:48.42,2023-08-18,f,23,6,,ACCEPTED,,F,240749136
2023,11829,188598802,44802166,f,2024-03-28 20:37:48.747,2023-08-25,f,11,6,,ACCEPTED,,F,240749197
2023,11829,175129486,44553336,f,2023-08-08 17:01:39.196,2023-02-02,f,11,6,,ACCEPTED,,F,199377304
