yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
118292023,11829,2023,NH0010000,NH0010000,,N,N,,I,BELKNAP,SO BELKNAP COUNTY LACONIA,Belknap,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,County,0,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,8,4,12,1,5,6,0,0,2002-01-01,2017-01-01,2022-02-01,2022-02-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118302023,11830,2023,NH001010X,NH0010100,,N,N,,I,SP: BELKNAP COUNTY,SP: BELKNAP COUNTY,State Police:,Belknap County,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,State Police,0,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,2002-01-01,2003-01-01,2003-01-01,2015-03-01,2023-04-01,2023-04-01,N,BELKNAP,Not Specified,Y,Y,Y
118312023,11831,2023,NH0010200,NH0010200,,N,N,,I,ALTON,ALTON PD,Alton,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,6084,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,13,0,13,0,2,2,2.1,2.5,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118322023,11832,2023,NH0010400,NH0010400,,N,N,,I,BARNSTEAD,BARNSTEAD PD,Barnstead,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,5038,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,2,1,3,1.4,1.6,2002-01-01,2002-07-01,2002-07-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118332023,11833,2023,NH0010600,NH0010600,,N,N,,I,BELMONT,BELMONT PD,Belmont,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,7466,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,3,3,6,2.0,2.4,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118342023,11834,2023,NH0010800,NH0010800,,N,N,,I,CENTER HARBOR,CENTER HARBOR PD,Center Harbor,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,1039,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,1,0,1,3.8,3.8,2002-01-01,2008-12-01,2008-12-01,2010-10-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118352023,11835,2023,NH0011000,NH0011000,,N,N,,I,GILFORD,GILFORD PD,Gilford,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,7927,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,18,1,19,2,5,7,2.5,3.3,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118362023,11836,2023,NH0011200,NH0011200,,N,N,,I,GILMANTON,GILMANTON PD,Gilmanton,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,4050,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,1,1,2,1.0,1.2,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118372023,11837,2023,NH0011400,NH0011400,,N,N,,I,LACONIA,LACONIA PD,Laconia,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,17171,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,30,5,35,8,6,14,2.2,2.9,2002-01-01,2002-01-01,2002-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118382023,11838,2023,NH0011600,NH0011600,,N,N,,I,MEREDITH,MEREDITH PD,Meredith,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,6803,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,N,,,,,,,,,2002-01-01,2002-06-01,2002-06-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118392023,11839,2023,NH0011800,NH0011800,,N,N,,I,NEW HAMPTON,NEW HAMPTON PD,New Hampton,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,2453,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,4,0,4,1,1,2,2.0,2.4,2002-01-01,2003-01-01,2003-01-01,2010-07-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118402023,11840,2023,NH0012000,NH0012000,,N,N,,I,SANBORNTON,SANBORNTON,Sanbornton,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,3072,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,1,7,0,0,0,2.0,2.3,2002-01-01,2011-01-01,2011-01-01,2012-09-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118412023,11841,2023,NH0012200,NH0012200,,N,N,,I,TILTON,TILTON PD,Tilton,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,4113,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,11,1,12,2,1,3,3.2,3.6,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,BELKNAP,Not Specified,Y,Y,Y
118432023,11843,2023,NH0020000,NH0020000,,N,N,,I,CARROLL,SO CARROLL COUNTY OSSIPEE,Carroll,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,County,1727,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,12,3,15,1,8,9,7.5,13.9,2002-01-01,2002-01-01,2002-01-01,2011-03-01,,,N,CARROLL,Not Specified,Y,Y,Y
118442023,11844,2023,NH002010X,NH0020100,,N,N,,I,SP: CARROLL COUNTY,SP: CARROLL COUNTY,State Police:,Carroll County,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,State Police,0,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,N,,,,,,,0,0,2002-01-01,2003-01-01,2003-01-01,2015-03-01,2022-02-01,2022-02-01,N,CARROLL,Not Specified,Y,Y,Y
118452023,11845,2023,NH0020400,NH0020400,,N,N,,I,BARTLETT,BARTLETT PD,Bartlett,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,3371,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,4,0,4,1,0,1,1.5,1.5,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,CARROLL,Not Specified,Y,Y,Y
118472023,11847,2023,NH0021000,NH0021000,,N,N,,I,CONWAY,CONWAY PD,Conway,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,10449,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,N,,,,,,,,,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,CARROLL,Not Specified,Y,Y,Y
118492023,11849,2023,NH0021600,NH0021600,,N,N,,I,FREEDOM,FREEDOM PD,Freedom,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,1756,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,3,0,3,0,0,0,1.7,1.7,2002-01-01,2003-01-01,2003-01-01,2010-04-01,,,N,CARROLL,Not Specified,Y,Y,Y
118502023,11850,2023,NH0022000,NH0022000,,N,N,,I,JACKSON,JACKSON,Jackson,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,1092,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2002-01-01,2010-09-01,2010-09-01,2016-03-01,,,N,CARROLL,Not Specified,Y,Y,Y
118512023,11851,2023,NH0022200,NH0022200,,N,N,,I,MADISON,MADISON PD,Madison,,A,34,New Hampshire,NH,NH,1,New England,1,Northeast,Region I,City,2751,23381,NHUCR0001,New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,0,0,0,1.1,1.1,2002-01-01,2002-06-01,2002-06-01,2010-04-01,,,N,CARROLL,Not Specified,Y,Y,Y
