data_year,arrestee_id,incident_id,arrestee_seq_num,arrest_date,arrest_type_id,multiple_indicator,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,clearance_ind,age_range_low_num,age_range_high_num
2024,62506863,204281175,1,2024-11-20,3,N,09A,67,64,M,10,20,R,,,64,
2024,60636529,198479584,2,2024-07-05,3,N,09A,27,24,M,20,10,R,,,24,
2024,57503147,188855521,1,2024-01-20,3,N,09A,37,34,M,20,20,R,,,34,
2024,63239916,206598078,2,2024-08-07,3,N,09A,21,18,M,20,20,R,,,18,
2024,59597904,195259169,1,2024-02-11,3,N,09A,28,25,M,10,20,R,,,25,
2024,62882070,205496089,1,2024-09-25,1,N,09A,43,40,M,10,20,,,,40,
2024,62882371,205497661,1,2024-07-10,3,N,09A,40,37,M,10,20,R,,,37,
2024,62882383,205497677,1,2024-12-08,3,N,09A,27,24,M,20,10,R,,,24,
2024,62882384,205497677,2,2024-12-08,3,N,09A,27,24,M,20,20,R,,,24,
2024,62362459,203848710,1,2024-09-30,1,N,09A,30,27,M,20,20,R,,,27,
