data_year,offender_id,incident_id,offender_seq_num,age_id,age_num,sex_code,race_id,ethnicity_id,age_range_low_num,age_range_high_num
2024,224202875,196991254,0,104,NS,X,99,50,,
2024,227664931,200017305,1,61,58,M,10,50,58,
2024,224202878,196991257,0,104,NS,X,99,50,,
2024,213513697,187645078,0,104,NS,X,99,50,,
2024,236847322,208030386,1,24,21,M,10,50,21,
2024,227664933,200017307,0,104,NS,X,99,50,,
2024,227664934,200017308,0,104,NS,X,99,50,,
2024,227664935,200017309,0,104,NS,X,99,50,,
2024,227664936,200017310,0,104,NS,X,99,50,,
2024,230504052,202493872,0,104,NS,X,99,50,,
2024,227664938,200017312,1,19,16,M,10,50,16,
2024,227664939,200017313,0,104,NS,X,99,50,,
2024,227664940,200017314,0,104,NS,X,99,50,,
2024,227664941,200017315,0,104,NS,X,99,50,,
2024,227664942,200017316,0,104,NS,X,99,50,,
2024,230504054,202493874,1,40,37,F,10,50,37,
2024,227664944,200017318,0,104,NS,X,99,50,,
2024,227664945,200017319,1,14,11,F,10,50,11,
2024,227664946,200017320,1,86,83,F,10,50,83,
2024,227664947,200017321,0,104,NS,X,99,50,,
2024,230504055,202493875,0,104,NS,X,99,50,,
2024,227664949,200017323,1,50,47,M,10,50,47,
2024,227664950,200017324,0,104,NS,X,99,50,,
2024,227664951,200017325,0,104,NS,X,99,50,,
2024,227664952,200017326,0,104,NS,X,99,50,,
2024,227664953,200017327,1,79,76,M,10,50,76,
2024,227664954,200017327,2,73,70,M,10,50,70,
2024,227664955,200017328,0,104,NS,X,99,50,,
2024,227664956,200017329,1,17,14,F,20,50,14,
2024,227664957,200017330,0,104,NS,X,99,50,,
2024,216440352,190213187,0,104,NS,X,99,50,,
2024,227664958,200017331,0,104,NS,X,99,50,,
2024,227664959,200017332,1,15,12,M,10,50,12,
2024,227664960,200017333,0,104,NS,X,99,50,,
2024,227664961,200017334,0,104,NS,X,99,50,,
2024,227664962,200017335,0,104,NS,X,99,50,,
2024,227664963,200017336,0,104,NS,X,99,50,,
2024,227664964,200017337,1,63,60,M,10,50,60,
2024,221414432,194561439,1,20,17,F,10,50,17,
2024,227664965,200017338,0,104,NS,X,99,50,,
2024,227664966,200017339,0,104,NS,X,99,50,,
2024,227664967,200017340,1,37,34,M,10,50,34,
