data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2024,12,187585741,4.005,9,18248761
2024,15,187585741,11.000,9,18248762
2024,5,186839119,1.333,3,18132171
2024,8,189009983,0.010,1,18463009
2024,12,192919769,2.000,1,19030683
2024,2,192919787,0.100,1,19030684
2024,2,194853510,6.000,1,19299775
2024,11,194853510,114.000,1,19299776
2024,1,197425397,0.160,1,19655294
2024,1,194853532,6.000,1,19299779
2024,12,194853532,5.000,1,19299780
2024,2,194853534,0.001,1,19299781
2024,5,193168528,20.000,1,19067095
2024,5,193168532,2.000,3,19067096
2024,2,188489810,3.040,1,18382712
2024,1,188489810,3.560,1,18382713
2024,17,188489810,40.072,1,18382714
2024,5,180024893,1.000,1,17104644
2024,12,197427362,1.000,1,19656042
2024,16,181373983,36.000,9,17301457
2024,5,185408839,54.000,1,17923924
2024,5,182777655,10.089,1,17513555
2024,5,181373984,4.006,3,17301458
2024,5,185408854,7.880,1,17923925
2024,8,183922789,3.000,3,17685910
2024,11,183922789,1.000,3,17685911
2024,1,183922790,4.410,1,17685912
2024,2,180024907,1.350,1,17104645
2024,16,180861603,37.000,1,17224006
2024,1,196749137,1.000,1,19556167
2024,16,196749137,2.000,9,19556168
2024,5,188489084,1.000,3,18382675
2024,16,183012942,34.000,9,17548207
2024,16,183012942,8.009,1,17548208
2024,12,183012945,7.900,1,17548209
2024,12,183012946,7.000,1,17548210
2024,2,183012946,2.000,1,17548211
2024,12,184639569,7.006,1,17801665
2024,16,185407835,5.000,9,17923778
2024,17,192486749,4.000,1,18966697
2024,8,184639574,55.000,9,17801667
2024,15,186839202,1.000,9,18132175
2024,16,180861626,1.000,1,17224007
2024,2,184639581,1.000,1,17801669
2024,16,194216446,4.000,1,19215004
2024,8,180861627,1.000,1,17224008
2024,17,192486805,1.000,9,18966703
2024,5,184639585,1.000,7,17801670
2024,5,184639588,1.000,1,17801671
2024,5,195366951,1.000,3,19371957
2024,5,181372512,3.000,1,17301332
2024,8,184639598,1.000,9,17801672
2024,12,185407844,22.000,1,17923780
2024,16,185407844,6.000,9,17923781
2024,8,185407845,40.000,9,17923783
2024,8,186839204,4.000,1,18132176
2024,1,186839207,2.000,1,18132177
2024,5,185407865,1.000,7,17923786
2024,5,185407867,2.000,7,17923787
2024,8,190856203,4.000,1,18731284
2024,2,190856203,12.000,1,18731285
2024,12,186839208,1.000,9,18132178
2024,15,186839208,14.000,9,18132179
2024,16,186839208,8.000,9,18132180
2024,5,185407869,1.000,7,17923791
2024,5,186839209,2.000,1,18132181
2024,16,186839211,5.000,1,18132182
2024,12,186839213,49.000,1,18132183
2024,5,188489103,1.000,1,18382676
2024,5,180861635,5.000,9,17224009
2024,2,192486808,2.000,1,18966704
2024,11,188489115,13.000,1,18382678
2024,8,188489115,9.000,1,18382679
2024,17,188489115,2.000,9,18382680
2024,12,188489116,5.000,1,18382681
2024,8,188489116,1.000,1,18382682
2024,12,189620860,1.000,1,18554753
2024,17,189620860,5.000,9,18554754
2024,12,189620865,11.006,1,18554755
2024,8,189620865,4.800,1,18554756
2024,1,189620865,1.000,1,18554757
2024,12,188489131,1.000,1,18382688
2024,2,180861637,5.006,1,17224010
2024,1,180861637,3.300,1,17224011
2024,17,180861637,3.000,9,17224012
2024,9,189620879,1.000,9,18554758
2024,12,189620883,70.000,5,18554759
2024,12,189620887,16.000,9,18554760
2024,16,189620889,1.000,1,18554761
2024,1,190856206,0.007,1,18731287
2024,4,190856206,0.006,1,18731288
2024,8,192486809,1.000,9,18966705
2024,5,180861641,59.000,1,17224013
2024,3,190856212,1.000,7,18731290
2024,2,192486810,6.000,1,18966706
2024,12,192486810,33.500,9,18966707
2024,1,190856216,4.000,1,18731294
2024,4,190856216,3.000,1,18731295
2024,8,190856216,27.000,9,18731296
2024,2,190856224,77.004,1,18731297
2024,5,190856225,1.000,1,18731298
2024,2,192486814,1.000,1,18966709
2024,7,192486814,10.000,9,18966710
2024,1,190856228,1.000,1,18731301
2024,2,192486824,1.000,1,18966711
2024,12,192486824,47.000,9,18966712
2024,5,192486833,1.000,7,18966713
2024,15,192486839,2.000,9,18966714
2024,5,192486840,1.130,4,18966715
2024,2,192486845,2.700,1,18966717
2024,8,194216501,1.000,1,19215007
2024,5,194216502,1.000,7,19215008
2024,5,194216505,1.000,7,19215009
2024,8,181372588,1.000,1,17301339
2024,5,194216517,1.000,7,19215010
2024,13,194216519,1.000,9,19215011
2024,5,194216521,1.000,7,19215012
2024,2,194216522,3.005,1,19215013
2024,1,194216522,0.008,1,19215014
2024,16,194216522,40.500,9,19215015
2024,5,195366998,1.000,7,19371958
2024,12,195367005,4.000,9,19371959
2024,8,195367005,4.000,9,19371960
2024,5,195367010,1.000,1,19371961
2024,2,181372594,2.400,1,17301340
2024,5,194853841,1.000,11,19299796
2024,2,188149745,26.310,1,18333687
2024,16,188149745,13.000,9,18333688
2024,16,188149745,84.015,1,18333689
2024,13,194853849,1.000,9,19299797
2024,4,194853849,50.000,5,19299798
2024,5,185815883,7.870,4,17978189
2024,12,185815908,10.000,1,17978190
2024,5,191276929,0.083,3,18795570
2024,16,185815913,9.000,9,17978191
2024,12,194217694,2.100,1,19215143
2024,2,188489856,3.600,1,18382723
2024,7,188489856,3.500,1,18382724
2024,12,186839857,2.000,1,18132204
2024,15,194217698,9.400,1,19215144
2024,8,188489862,0.900,1,18382725
2024,2,188489865,1.000,1,18382726
2024,8,188489870,66.600,1,18382727
2024,12,188489888,1.000,1,18382728
2024,16,188489888,0.390,1,18382729
2024,11,190856920,1.000,11,18731334
2024,16,180025050,2.000,9,17104647
2024,1,188489893,1.000,1,18382731
2024,5,180025053,12.235,3,17104648
2024,2,189622621,12.700,1,18554918
2024,17,189622621,12.600,1,18554919
2024,12,189622626,1.400,1,18554920
2024,12,189622649,1.000,9,18554922
2024,12,190856922,10.009,1,18731335
2024,17,190856922,5.600,8,18731336
2024,1,184640642,3.009,1,17801755
2024,15,190856924,26.000,1,18731337
2024,1,189622669,2.600,1,18554926
2024,16,189622685,27.800,1,18554931
2024,1,190856927,9.100,1,18731338
2024,12,190856929,1.500,1,18731339
2024,16,183015203,1.600,1,17548458
2024,2,190856938,5.500,1,18731340
2024,7,190856938,3.500,1,18731341
2024,8,190856945,2.100,1,18731342
2024,1,185817292,2.001,1,17978289
2024,12,190856955,55.300,1,18731343
2024,8,190856955,9.600,1,18731344
2024,12,184640717,1.000,1,17801760
2024,12,190856965,6.600,1,18731345
2024,16,190856969,4.200,1,18731346
2024,2,192487110,0.900,1,18966740
2024,16,192487110,2.200,1,18966741
2024,8,194217703,2.000,9,19215145
2024,16,192487122,1.200,1,18966743
2024,5,192487128,3.000,3,18966744
2024,12,192487131,5.600,1,18966745
2024,8,192487131,2.500,1,18966746
2024,2,194217705,7.001,1,19215146
2024,16,188489921,0.200,1,18382735
2024,5,195747400,3.300,1,19424414
2024,1,194217709,0.200,1,19215148
2024,16,194217709,0.200,1,19215149
2024,8,183015269,5.600,1,17548461
2024,2,183015269,2.100,1,17548462
2024,12,183015269,0.300,1,17548463
2024,2,194217712,2.800,1,19215150
2024,13,194217712,4.000,1,19215151
2024,1,183015272,3.200,1,17548464
2024,15,194217721,5.000,1,19215152
2024,8,195747402,35.009,1,19424415
2024,2,195747402,124.009,1,19424416
2024,8,181731080,10.700,1,17350672
2024,15,181731082,11.300,1,17350673
2024,1,194217745,12.300,1,19215155
2024,8,195747408,54.000,9,19424417
2024,12,181731083,1.000,1,17350674
2024,12,194217756,6.000,1,19215157
2024,15,195747414,0.900,1,19424418
2024,8,195747415,0.300,1,19424419
2024,1,195747421,0.500,1,19424420
2024,1,195747422,12.000,1,19424421
2024,12,197427391,14.000,4,19656043
2024,12,195747438,2.500,1,19424423
2024,12,195747441,50.000,1,19424424
2024,2,197427394,1.700,1,19656044
2024,8,197427394,1.900,1,19656045
2024,15,197427394,13.000,9,19656046
2024,2,195747454,0.500,1,19424428
2024,2,195747456,4.800,1,19424429
2024,11,186839886,3.400,1,18132208
2024,2,181731092,0.500,1,17350675
2024,11,186839896,2.320,3,18132209
2024,13,188489934,15.100,1,18382736
2024,12,188489934,22.200,1,18382737
2024,1,183015287,2.700,1,17548465
2024,8,186839989,2.000,9,18132212
2024,1,188489952,7.005,1,18382738
2024,1,190856984,7.009,1,18731349
2024,2,194217772,2.100,1,19215160
2024,12,181731117,3.600,1,17350677
2024,15,183015325,1.000,9,17548466
2024,2,184640996,1.000,1,17801799
2024,16,184640996,0.600,1,17801800
2024,17,184640996,1.400,1,17801801
2024,1,184640999,6.004,1,17801802
2024,7,183015343,4.000,9,17548471
2024,12,183015347,6.001,1,17548472
2024,13,180025157,9.000,1,17104653
2024,8,188490145,0.500,1,18382740
2024,8,189622888,0.400,1,18554947
2024,15,189622888,1.006,1,18554948
2024,16,183015377,2.300,1,17548475
2024,12,189622987,0.100,1,18554956
2024,1,185817525,0.200,1,17978294
2024,8,190857126,0.300,1,18731355
2024,2,183015411,1.000,1,17548477
2024,1,194217795,0.020,1,19215161
2024,2,194217801,0.500,1,19215162
2024,15,184641043,0.800,1,17801805
2024,8,194217826,0.200,1,19215163
2024,12,184641045,0.500,1,17801806
2024,15,192487391,3.006,1,18966763
2024,5,192487396,3.000,3,18966764
2024,8,185817532,1.200,1,17978295
2024,5,185817532,9.000,1,17978296
2024,16,185817532,124.000,9,17978297
2024,12,185817534,3.300,1,17978298
2024,12,185817536,0.600,1,17978299
2024,12,184641065,1.500,1,17801813
2024,7,184641079,7.000,9,17801814
2024,1,184641091,2.700,1,17801818
2024,2,185817544,61.700,1,17978300
2024,13,185817544,1.000,9,17978301
2024,17,195747586,0.100,1,19424432
2024,12,184641106,1.200,1,17801827
2024,12,184641107,39.009,1,17801828
2024,8,184641107,0.300,8,17801829
2024,12,184641108,2.300,1,17801831
2024,2,184641111,0.500,1,17801833
2024,8,198895703,400.000,9,19872320
2024,8,184641118,5.000,1,17801834
2024,2,185817547,3.300,1,17978303
2024,12,185817549,1.500,1,17978304
2024,16,185817549,1.000,1,17978305
2024,1,185817550,1.000,1,17978306
2024,8,185817550,1.000,1,17978307
2024,2,185817561,3.600,1,17978308
2024,8,185817561,4.500,1,17978309
2024,13,180025235,9.000,1,17104654
2024,13,188490200,15.100,1,18382744
2024,12,188490200,22.200,1,18382745
2024,16,188490200,19.002,1,18382746
2024,16,186840131,3.500,1,18132219
2024,1,186840131,0.300,1,18132220
2024,16,186840133,4.150,1,18132221
2024,17,186840133,12.900,1,18132222
2024,11,186840136,2.300,1,18132223
2024,2,186840137,0.400,1,18132224
2024,2,186840145,18.700,1,18132225
2024,8,188490206,2.100,1,18382747
2024,5,186840154,1.000,3,18132227
2024,1,180025249,1.000,1,17104655
2024,17,183015552,2.000,1,17548495
2024,2,195368367,0.200,1,19372189
2024,1,188490211,1.100,1,18382748
2024,12,194218031,0.050,1,19215164
2024,8,180025284,34.000,9,17104656
2024,2,181373994,17.001,1,17301460
2024,9,189623191,1.000,9,18554967
2024,16,189623191,1.000,11,18554968
2024,5,190515550,23.800,1,18679822
2024,12,190515565,12.820,1,18679823
