data_year,victim_id,offender_id,relationship_id,nibrs_victim_offender_id
2024,222826223,227664931,9,
2024,222826231,227664938,9,
2024,225660746,230504054,17,
2024,222826238,227664945,9,
2024,222826239,227664946,1,
2024,222826242,227664949,8,
2024,222826246,227664953,24,
2024,222826246,227664954,24,
2024,222826248,227664956,17,
2024,222826249,227664956,17,
2024,222826252,227664959,24,
2024,222826253,227664959,24,
2024,222826258,227664964,24,
2024,216553586,221414432,24,
2024,216553587,221414432,24,
2024,222826264,227664970,1,
2024,225660749,230504057,27,
2024,222826274,227664980,16,
2024,222826276,227664982,18,
2024,208597121,213513699,17,
2024,231999967,236847323,24,
2024,208597124,213513701,22,
2024,208597125,213513701,17,
2024,225660762,230504069,16,
2024,225660763,230504070,22,
2024,225660769,230504076,17,
2024,229098325,233954767,27,
2024,225660774,230504082,24,
2024,225660779,230504087,24,
2024,208597126,213513702,3,
2024,225660785,230504091,3,
2024,231999968,236847324,17,
2024,231999970,236847326,16,
2024,229098347,233954787,15,
2024,229098351,233954791,21,
2024,208597137,213513713,17,
2024,208597137,213513714,17,
2024,208597138,213513713,19,
2024,208597138,213513714,19,
2024,231999985,236847341,27,
2024,208597142,213513718,9,
2024,211556332,216440355,17,
2024,225660790,230504096,24,
2024,211556338,216440360,21,
2024,211556339,216440360,20,
2024,225660792,230504097,24,
2024,216553588,221414433,27,
2024,211556356,216440374,17,
2024,213561447,218438353,1,
2024,213561451,218438357,24,
2024,213561451,218438358,24,
2024,216553592,221414437,5,
2024,213561454,218438361,24,
2024,213561456,218438362,21,
2024,215521005,220388734,24,
2024,213561459,218438365,3,
2024,208108130,213027393,17,
2024,213561461,218438367,24,
2024,215521006,220388735,24,
2024,213561465,218438370,16,
2024,213561465,218438371,16,
2024,213561473,218438378,7,
2024,211556367,216440386,27,
2024,215521013,220388741,24,
2024,215521014,220388742,24,
2024,231999988,236847343,16,
2024,231999988,236847344,16,
2024,231999988,236847345,16,
2024,231999988,236847346,16,
2024,231999988,236847347,16,
2024,231999988,236847348,16,
2024,231999988,236847349,16,
2024,225660793,230504098,3,
2024,215521026,220388750,1,
2024,225660794,230504099,7,
2024,215521028,220388752,16,
2024,215521031,220388755,24,
2024,215521033,220388757,11,
2024,215521035,220388759,27,
2024,216553594,221414445,18,
2024,215521037,220388761,24,
2024,208597148,213513724,24,
2024,215521046,220388769,24,
2024,215521047,220388769,24,
2024,215521048,220388769,24,
2024,215521049,220388769,24,
2024,215521050,220388769,24,
2024,215521051,220388769,24,
2024,215521052,220388769,24,
2024,215521053,220388769,24,
2024,215521054,220388769,24,
2024,225660795,230504100,24,
2024,215521060,220388773,16,
2024,215521061,220388774,5,
2024,215521063,220388776,16,
2024,215521062,220388775,11,
2024,216553603,221414452,16,
2024,219352231,224202889,3,
2024,215521068,220388781,24,
2024,219352234,224202891,27,
2024,216553606,221414455,27,
2024,216553609,221414458,24,
2024,216553609,221414459,24,
2024,216553619,221414469,19,
2024,219352235,224202892,16,
2024,216553623,221414473,24,
2024,216553626,221414476,1,
2024,216553629,221414478,24,
2024,219352240,224202896,24,
2024,219352244,224202900,16,
2024,219352246,224202902,16,
2024,222826289,227664993,24,
2024,222826289,227664994,24,
2024,222826289,227664995,24,
2024,222826290,227664993,24,
2024,222826290,227664994,24,
2024,222826290,227664995,24,
2024,213561492,218438399,24,
2024,222826291,227664996,18,
2024,222826291,227664997,18,
2024,222826291,227664998,18,
2024,222826292,227664996,18,
2024,222826292,227664997,18,
2024,222826292,227664998,18,
2024,211556368,216440387,5,
2024,219352265,224202921,24,
2024,219352267,224202923,21,
2024,219352272,224202930,3,
2024,222826293,227664999,17,
2024,222826294,227665000,18,
2024,222826295,227665000,18,
2024,219352285,224202941,24,
2024,218516422,223373155,27,
2024,219352291,224202946,18,
2024,219352291,224202947,18,
2024,218516425,223373158,3,
2024,218516434,223373167,3,
2024,218516437,223373170,21,
2024,218516438,223373171,16,
2024,219352294,224202950,24,
2024,225660800,230504105,17,
2024,206313465,211246607,1,
2024,218516445,223373178,19,
2024,219352307,224202960,15,
2024,219352308,224202960,15,
2024,219352309,224202961,24,
2024,219352310,224202962,27,
2024,230007765,234858319,21,
2024,226519135,231360171,18,
2024,226519135,231360172,18,
2024,223907008,228740719,27,
2024,219352314,224202968,16,
2024,206313502,211246646,19,
2024,206313503,211246646,17,
2024,219352316,224202970,5,
2024,223907012,228740723,3,
2024,232000049,236847411,24,
2024,208108184,213027449,24,
2024,223907018,228740729,9,
2024,223907019,228740730,27,
2024,223907020,228740731,3,
2024,223907021,228740732,3,
2024,225660808,230504114,11,
2024,208108204,213027470,24,
2024,223907036,228740746,21,
2024,226519142,231360180,24,
2024,232000051,236847413,27,
2024,232000053,236847415,24,
2024,223907039,228740749,3,
2024,226519156,231360194,13,
2024,225660816,230504123,17,
2024,225660817,230504124,17,
2024,225660818,230504125,3,
2024,225660819,230504126,3,
2024,226519159,231360197,3,
2024,226519160,231360198,21,
2024,226519161,231360199,3,
2024,210734954,215637268,24,
2024,226519162,231360200,24,
2024,226519164,231360202,3,
2024,226519168,231360207,3,
2024,226519169,231360208,17,
2024,226519170,231360208,17,
2024,219352317,224202971,24,
2024,208108214,213027486,24,
2024,210734961,215637275,1,
2024,212523853,217408482,24,
2024,210734962,215637276,3,
2024,210734965,215637279,3,
2024,210734966,215637280,1,
