data_year,groupb_arrestee_id,arrestee_seq_num,arrest_date,arrest_type_id,offense_code,age_id,age_num,sex_code,race_id,ethnicity_id,resident_code,under_18_disposition_code,age_range_low_num,age_range_high_num
2022,44968695,1,2022-02-09,2,90Z,22,19,M,10,20,N,,,
2022,45296977,1,2022-03-08,2,90Z,54,51,F,10,20,R,,,
2022,45297006,1,2022-03-02,2,90Z,62,59,M,10,20,R,,,
2022,46534440,1,2022-03-23,2,90Z,38,35,M,10,50,R,,,
2022,48342657,1,2022-04-25,2,90Z,33,30,M,10,20,R,,,
2022,45712293,1,2022-05-13,1,90Z,45,42,M,10,20,R,,,
2022,45946386,1,2022-05-04,2,90J,39,36,F,10,20,R,,,
2022,47318614,1,2022-10-21,1,90Z,30,27,M,10,20,R,,,
2022,48342652,1,2022-12-11,2,90Z,71,68,M,10,20,R,,,
2022,47573513,1,2022-12-02,2,90Z,39,36,M,10,20,R,,,
2022,45297257,1,2022-02-24,2,90C,20,17,M,10,20,N,H,,
2022,45947128,1,2022-06-19,1,90Z,41,38,F,10,20,R,,,
2022,46258499,1,2022-07-10,1,90D,23,20,M,10,20,R,,,
2022,46258500,1,2022-07-16,1,90Z,41,38,F,10,20,R,,,
2022,45296943,1,2022-01-30,2,90J,71,68,M,10,20,R,,,
2022,44968724,1,2022-01-30,2,90Z,54,51,M,10,20,R,,,
2022,45296945,1,2022-02-23,2,90J,71,68,M,10,20,R,,,
2022,44968718,1,2022-02-01,2,90Z,78,75,M,10,20,N,,,
2022,44968735,1,2022-02-01,2,90J,71,68,M,10,20,R,,,
2022,44968736,1,2022-02-05,1,90D,58,55,F,10,20,R,,,
2022,44968738,1,2022-02-06,1,90D,28,25,M,10,20,R,,,
2022,44968739,1,2022-02-06,2,90J,71,68,M,10,20,R,,,
2022,45296963,1,2022-03-12,1,90D,56,53,M,10,20,R,,,
2022,45296969,1,2022-03-17,1,90Z,27,24,M,10,20,R,,,
2022,45448401,1,2022-03-28,3,90Z,38,35,M,10,20,R,,,
2022,45448404,1,2022-03-04,1,90D,74,71,M,10,20,R,,,
2022,45712275,1,2022-03-12,1,90D,29,26,M,10,20,R,,,
2022,45946447,1,2022-03-02,2,90J,71,68,M,10,20,R,,,
2022,45946453,2,2022-03-02,2,90Z,71,68,M,10,20,R,,,
2022,45712276,1,2022-04-23,2,90D,22,19,M,10,20,R,,,
2022,45946371,1,2022-04-24,1,90D,46,43,M,10,20,R,,,
2022,45946375,1,2022-04-28,2,90Z,29,26,M,10,20,R,,,
