data_year,criminal_act_id,offense_id
2022,6,188801303
2022,6,197173550
2022,6,197173551
2022,6,185278318
2022,6,185278319
2022,1,182425459
2022,6,190412731
2022,9,193466669
2022,9,193466670
2022,9,188802702
2022,9,177105412
2022,9,179174506
2022,6,185278496
2022,6,183960429
2022,9,185278519
2022,9,179174589
2022,6,197173155
2022,3,181424793
2022,9,181424853
2022,3,185278260
2022,9,182425437
2022,3,182425439
2022,3,182425440
2022,9,185278277
2022,9,187212859
2022,9,185278511
2022,9,183960572
2022,9,183960565
2022,9,187212875
2022,6,187212876
2022,9,201328347
2022,9,187212887
2022,9,187213028
2022,6,197173437
2022,4,193466639
2022,9,188801281
2022,9,190412788
2022,9,190412793
2022,9,190412712
2022,6,193466645
2022,6,190412855
2022,3,195108596
2022,6,197173456
2022,9,190412711
2022,8,191825615
2022,6,197173495
2022,6,197173167
2022,9,177106408
2022,6,197173170
2022,9,195108600
2022,9,201328337
2022,9,197173171
2022,9,195108398
2022,9,197173173
2022,8,195108450
2022,8,195108468
2022,9,197173169
2022,8,195108554
2022,6,199582992
2022,6,181425612
2022,8,197173174
2022,9,181425744
2022,4,188802735
2022,9,187214352
2022,9,183962133
2022,7,183962134
2022,9,187214377
2022,1,187214322
2022,4,188802753
2022,1,195109753
2022,9,185278701
2022,6,183960692
2022,6,183960685
2022,9,183960683
2022,6,188803594
2022,9,185278702
2022,1,188802291
2022,6,188802353
2022,12,190415262
2022,6,188802408
2022,14,191827300
2022,6,191827210
2022,9,197175125
2022,9,190413918
2022,3,193467466
2022,1,191826256
2022,6,193467548
2022,9,193467543
2022,6,197174339
2022,9,193467541
2022,8,197174344
2022,6,197174354
2022,9,195109194
2022,9,195109201
2022,9,197174356
2022,6,197174393
2022,6,197174355
2022,6,185279898
2022,6,177107325
2022,9,191827009
2022,9,177107152
2022,9,177107221
2022,6,179175612
2022,6,183961708
2022,9,177107286
2022,5,182426786
2022,6,185279256
2022,9,199584777
2022,1,181426202
2022,9,181426281
2022,9,181426199
2022,1,181425712
2022,6,181425523
2022,3,197175141
2022,9,195109706
2022,1,181425550
2022,9,179175671
2022,9,179175672
2022,3,181425571
2022,9,181425624
2022,9,181425569
2022,6,181425620
2022,9,181425600
2022,9,181425667
2022,3,181425619
2022,6,181425619
2022,6,182426499
2022,6,182426589
2022,6,188802736
2022,9,181425770
2022,9,182426656
2022,6,182426673
2022,6,182426734
2022,10,193468005
2022,3,182426517
2022,6,197175183
2022,6,181425816
2022,6,188802743
2022,6,183961896
2022,6,183961897
2022,6,182426667
2022,1,182426544
2022,6,182426577
2022,6,182426578
2022,6,182426579
2022,6,182426626
2022,9,188802752
2022,6,182426668
2022,9,182427293
2022,6,185279173
2022,6,183962645
2022,9,199584905
2022,5,191826994
2022,3,191826992
2022,6,191827010
2022,6,191827023
2022,9,190415015
2022,9,191827058
2022,9,191827039
2022,12,191827052
2022,9,197176426
2022,3,182426745
2022,6,193468777
2022,6,182426543
2022,9,197175947
2022,6,182426580
2022,6,197175217
2022,12,185279178
2022,6,183961783
2022,9,182426686
2022,1,185279148
2022,9,193468027
2022,6,193468036
2022,6,187214295
2022,3,193468045
2022,2,197175148
2022,14,183961836
2022,14,185279195
2022,9,185279287
2022,1,188802791
2022,6,197175219
2022,1,188802767
2022,6,185279217
2022,3,185279218
2022,1,185279240
2022,6,197175115
2022,9,185279253
2022,14,185279244
2022,9,185279263
2022,9,179175182
2022,9,181424931
2022,9,181425034
2022,9,188802403
2022,9,185278814
2022,9,197174604
2022,9,187213939
2022,9,187214035
2022,9,188802464
2022,9,197174615
2022,9,197174616
2022,9,190413880
2022,9,191826312
2022,9,191826293
2022,9,193467608
2022,9,187214332
2022,6,190414132
2022,6,193468092
2022,10,187214555
2022,8,197175213
2022,9,188802892
2022,1,193468072
2022,9,188802941
2022,1,190414171
2022,6,188802897
2022,6,188802933
2022,6,195109736
2022,12,199584224
2022,9,193467625
2022,3,190414200
2022,6,193467630
2022,9,193467638
2022,6,197175247
2022,3,188802991
2022,6,188802991
2022,6,197175143
2022,6,190414235
2022,6,199584736
2022,3,187214467
2022,6,187214468
2022,6,193468010
2022,9,201329858
2022,6,193468062
2022,6,188803153
2022,3,199584746
2022,10,191826624
2022,9,191826612
2022,6,190414297
2022,6,193468112
2022,6,190414279
2022,6,193468172
2022,6,188803257
2022,6,188803258
2022,6,190414254
2022,6,190414249
2022,6,201329407
2022,6,188803395
2022,6,190414268
2022,6,190414294
2022,6,190414300
2022,6,193468142
2022,8,193468192
2022,6,190414277
2022,9,190414292
2022,6,190414356
2022,6,199584919
2022,6,199583932
2022,6,190414334
2022,3,190414397
2022,3,197175253
2022,6,190414407
2022,6,193468134
2022,9,190414439
2022,3,199585028
2022,3,190414514
2022,6,191826665
2022,6,197175155
2022,9,190414542
2022,6,190414577
2022,4,190414437
2022,9,190414482
2022,3,193468137
2022,6,193468137
2022,6,193468150
2022,6,191826692
2022,9,191826703
2022,1,193468204
2022,9,191826729
2022,6,199584881
2022,6,191826706
2022,6,191826739
2022,6,193468164
2022,6,199584897
2022,6,191826738
2022,6,193468190
2022,6,193468206
2022,6,199585052
2022,9,191826737
2022,9,191826730
2022,6,201329526
2022,3,197175221
2022,6,197175249
2022,6,197175250
2022,9,197175274
2022,9,197175275
2022,6,197175276
2022,9,195109830
2022,6,195109745
2022,6,197175270
2022,9,197175220
2022,6,195109754
2022,1,193468261
2022,6,195109733
2022,9,193468210
2022,6,195109731
2022,1,193468297
2022,6,193468226
2022,9,193468266
2022,6,193468270
2022,6,197175277
2022,6,195109762
2022,6,193468294
2022,6,199584959
2022,6,199584960
2022,6,199584728
2022,6,195109826
2022,6,195109598
2022,3,195109612
2022,6,195109674
2022,2,195109693
2022,9,195109594
2022,6,195109687
2022,6,197175298
2022,6,199584783
2022,6,195109708
2022,6,199584947
2022,6,197175342
2022,6,197175373
2022,6,197175374
2022,6,197175396
2022,3,197175395
2022,1,197175413
2022,6,197175426
2022,6,199584759
2022,9,187212799
2022,6,183960448
2022,9,187212792
2022,3,199584864
2022,6,197175404
2022,6,181426491
2022,9,177106521
2022,9,187212800
2022,9,199583013
2022,6,187212806
2022,9,179174529
2022,6,188801284
2022,9,181425059
2022,9,187213087
2022,1,181425101
2022,1,182425629
2022,9,187212802
2022,9,182425639
2022,6,187212808
2022,9,187212807
2022,9,182425450
2022,9,182425464
2022,2,182425466
2022,9,187212812
2022,6,183960470
2022,9,193466652
2022,9,183960479
2022,12,188801292
2022,9,185278263
2022,9,185278288
2022,9,185278543
2022,9,185278553
2022,9,193466769
2022,9,188801272
2022,9,185278289
2022,9,201328561
2022,8,191825534
2022,9,187213203
2022,3,190412722
2022,8,190412723
2022,9,188801427
2022,9,188801451
2022,9,188801295
2022,9,195108430
2022,9,190412816
2022,6,191825531
2022,8,193466938
2022,9,191825543
2022,1,193466965
2022,9,191825550
2022,9,191825551
2022,6,193466659
2022,9,193466663
2022,9,193466666
2022,3,197173489
2022,9,195108408
2022,9,195108410
2022,4,201328413
2022,9,195108415
2022,9,197173493
2022,9,197173529
2022,9,199583096
