data_year,offense_id,incident_id,offense_code,attempt_complete_flag,location_id,num_premises_entered,method_entry_code
2022,197175061,165127506,09A,C,35,,
2022,190413851,159230524,09A,C,25,,
2022,191826624,160462557,09A,C,35,,
2022,197175220,165127655,09A,C,33,,
2022,193468041,161885265,09A,C,21,,
2022,197175952,165128333,09A,C,35,,
2022,197176419,165128757,09A,C,21,,
2022,197173387,165126039,09A,C,25,,
2022,195108708,163316830,09A,C,35,,
2022,199583080,167226064,09A,C,32,,
2022,195109217,163317283,09A,C,35,,
2022,201328673,168740636,09A,C,37,,
2022,191826162,160462130,09A,C,35,,
2022,195110027,163318025,09A,C,35,,
2022,201329516,168741406,09A,C,35,,
2022,201329970,168741821,09A,C,35,,
2022,195109493,163317530,09A,C,25,,
2022,195109511,163317547,09A,C,35,,
2022,199584035,167226926,09A,C,35,,
2022,201330181,168742008,09A,C,35,,
2022,201329462,168741361,09A,C,21,,
2022,195108972,163317074,09A,C,25,,
