data_year,property_id,prop_desc_id,property_value,date_recovered,nibrs_prop_desc_id
2022,162304867,10,,,
2022,153328329,10,,,
2022,153328329,11,1,,
2022,155985314,17,6480,,
2022,151194002,22,0,,
2022,157201610,47,0,,
2022,157201611,20,503,,
2022,159498762,35,100,,
2022,160737483,33,625,,
2022,154797142,61,1000,,
2022,147185290,61,600,,
2022,154797149,65,1,,
2022,154797154,63,1,,
2022,148753510,38,1000,,
2022,154797159,63,1,,
2022,154797167,4,599,2022-05-18,
2022,154797168,4,599,,
2022,153329991,4,7500,,
2022,147185335,50,200,,
2022,148753440,20,2400,,
2022,148753443,38,200,,
2022,147185340,16,593,,
2022,158275053,38,500,,
2022,148753469,50,45,,
2022,148753474,38,1000,,
2022,158275060,16,50,2022-09-05,
2022,158275061,16,50,,
2022,162306279,34,248,,
2022,148753480,3,1000,,
2022,150435696,47,0,,
2022,148753526,13,1200,,
2022,148753526,17,1300,,
2022,148753526,20,25,,
2022,148753526,26,100,,
2022,148753526,43,800,,
2022,150435756,37,1000,,
2022,147184540,20,4800,,
2022,148754762,36,100,,
2022,148753661,2,20,,
2022,148753669,52,0,,
2022,150435743,63,100,,
2022,150435761,36,45,,
2022,150435777,59,100,,
2022,150435754,33,500,,
2022,147184541,26,1,,
2022,147184542,63,150,,
2022,147184544,19,29,,
2022,148753083,36,1250,2022-01-28,
2022,150435763,9,0,,
2022,151194272,7,160,,
2022,152342336,67,1,,
2022,148753084,36,1250,,
2022,150434992,8,39,,
2022,151194319,63,50,,
2022,152342337,19,20,,
2022,151194275,52,0,,
2022,151194303,61,179,,
2022,152342343,67,1,,
2022,152342331,10,50,,
2022,152342334,7,200,,
2022,152342334,26,150,,
2022,152342334,61,150,,
2022,152342335,9,0,,
2022,152342339,38,500,,
2022,152342348,52,0,,
2022,151194247,36,6000,,
2022,152342367,51,0,,
2022,152342378,67,1,,
2022,151194269,13,500,,
2022,152342384,67,1,,
2022,152342391,20,30000,,
2022,152342364,16,200,,
2022,153328488,10,,,
2022,148753123,7,1,,
2022,153328500,63,1,,
2022,152342368,19,50,,
2022,152342383,42,300,,
2022,152342344,54,300,,
2022,152342349,26,700,,
2022,152342349,45,50,,
2022,152342362,13,500,,
2022,152342351,6,45,,
2022,152342351,9,0,,
2022,152342351,16,35,,
2022,152342351,21,1,,
2022,152342354,20,486,,
2022,150435015,19,249,,
2022,151193994,21,200,,
2022,154797244,20,205,,
