data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2022,5,162304867,18.000,3,14648325
2022,4,153328329,4.000,9,13391836
2022,16,153328329,1.000,11,13391837
2022,5,153328488,2.799,1,13391849
2022,4,162304454,2.000,9,14648302
2022,4,153328291,1.000,11,13391834
2022,5,151193988,1.000,11,13059869
2022,8,151193989,20.000,9,13059870
2022,8,162304757,40.000,5,14648318
2022,5,159498743,177.599,3,14262705
2022,16,159498743,1.000,11,14262706
2022,5,157201715,0.700,1,13952889
2022,4,160737626,1.000,11,14434402
2022,1,160737626,1.000,1,14434403
2022,4,162304822,1.000,11,14648321
2022,5,162304464,4.555,3,14648303
2022,5,162304466,1.000,11,14648304
2022,1,164110672,1.600,1,14891626
2022,2,154797165,32.649,1,13613134
2022,5,154797165,1.000,1,13613135
2022,1,155987252,0.300,1,13779124
2022,2,158275421,1.000,9,14095860
2022,4,147186116,25.000,9,12494148
2022,4,155986242,23.899,1,13779058
2022,2,155986286,1.899,1,13779061
2022,11,162305565,1.000,11,14648388
2022,2,162305580,16.100,1,14648389
2022,12,162305580,1.000,1,14648390
2022,8,162305580,1.000,11,14648391
2022,1,147186116,1.000,1,12494149
2022,9,148754024,7.000,9,12703936
2022,1,152343261,0.300,1,13234911
2022,1,153329131,11.000,1,13391889
2022,4,153329131,1.000,9,13391890
2022,8,150435779,5.200,9,12943000
2022,1,150435779,1.000,1,12943001
2022,16,150435779,1.000,9,12943002
2022,4,150435629,84.000,9,12942982
2022,2,162306199,1.000,1,14648435
2022,5,150435647,58.000,1,12942984
2022,8,150435665,5113.729,9,12942988
2022,2,150435665,1.000,3,12942989
2022,4,150435702,2.000,9,12942994
2022,16,150435701,100.000,9,12942993
2022,4,151194850,100.000,9,13059974
2022,2,151194919,0.100,1,13059990
2022,4,151194919,1.000,9,13059991
2022,1,155986535,33.299,1,13779073
2022,16,155986535,1.000,9,13779074
2022,4,151194978,1.000,9,13060002
2022,4,151194859,1.000,11,13059976
2022,4,162306234,13.000,9,14648440
2022,4,150435858,1.000,9,12943013
2022,4,155986539,8.000,9,13779075
2022,16,152343421,1.500,1,13234931
2022,2,152343421,1.000,1,13234932
2022,8,151194973,21.000,9,13059999
2022,4,151194908,10.599,9,13059985
2022,2,151194908,1.000,1,13059986
2022,2,151194947,0.500,1,13059993
2022,1,151194974,0.500,1,13060000
2022,4,153329062,12.000,9,13391883
2022,2,153329062,1.000,1,13391884
2022,4,151195033,11.199,1,13060011
