data_year,victim_id,incident_id,victim_seq_num,victim_type_id,assignment_type_id,activity_type_id,outside_agency_id,age_id,age_num,sex_code,race_id,ethnicity_id,resident_status_code,age_range_low_num,age_code_range_high
2022,174463324,157824751,1,8,,,,104,NS,X,99,50,,,
2022,182817262,165126177,1,8,,,,104,NS,X,99,50,,,
2022,170951908,154759129,1,8,,,,104,NS,X,99,50,,,
2022,174463326,157824753,1,4,,,,52,49,M,10,20,R,49,
2022,168103110,152269463,1,1,,,,104,NS,X,99,50,,,
2022,176074540,159229524,1,4,,,,51,48,F,10,20,R,48,
2022,179111181,161884040,1,4,,,,36,33,M,10,50,R,33,
2022,179111182,161884041,1,4,,,,23,20,M,10,20,R,20,
2022,179111183,161884041,2,4,,,,21,18,F,10,50,R,18,
2022,179111184,161884041,3,4,,,,19,16,M,10,20,R,16,
2022,176074541,159229525,1,1,,,,104,NS,X,99,50,,,
2022,179111186,161884043,1,1,,,,104,NS,X,99,50,,,
2022,180758920,163316587,1,3,,,,104,NS,X,99,50,,,
2022,168104281,152270532,1,4,,,,42,39,M,10,20,R,39,
2022,168104305,152270556,1,4,,,,44,41,M,10,20,N,41,
2022,172874371,156440898,1,4,,,,54,51,F,10,50,R,51,
2022,172874381,156440907,1,1,,,,104,NS,X,99,50,,,
2022,172874391,156440914,1,3,,,,104,NS,X,99,50,,,
2022,172874396,156440919,1,3,,,,104,NS,X,99,50,,,
2022,172874405,156440926,1,4,,,,14,11,M,10,50,R,11,
2022,174464709,157825995,1,4,,,,48,45,F,10,20,R,45,
2022,170953904,154760952,1,4,,,,40,37,F,10,50,R,37,
2022,177483820,160462679,1,4,,,,23,20,M,10,20,R,20,
2022,177483828,160462685,1,4,,,,43,40,M,10,20,N,40,
2022,179112760,161885460,1,4,,,,43,40,F,10,20,R,40,
2022,182818879,165127668,1,1,,,,104,NS,X,99,50,,,
2022,162827148,147638367,1,1,,,,104,NS,X,99,50,,,
2022,167103244,151396726,1,4,,,,32,29,F,20,20,R,29,
2022,162827149,147638368,1,4,,,,52,49,M,10,20,R,49,
2022,162827153,147638370,1,1,,,,104,NS,X,99,50,,,
2022,162827158,147638373,1,1,,,,104,NS,X,99,50,,,
2022,162827161,147638376,1,4,,,,75,72,M,10,20,R,72,
2022,162827143,147638363,1,4,,,,43,40,F,20,20,R,40,
2022,164892426,149448030,1,4,,,,49,46,M,10,20,R,46,
2022,167103249,151396730,1,1,,,,104,NS,X,99,50,,,
2022,164892432,149448036,1,4,,,,17,14,M,10,20,R,14,
2022,170952078,154759288,1,8,,,,104,NS,X,99,50,,,
2022,167103259,151396739,1,4,,,,53,50,M,10,20,R,50,
2022,167103260,151396739,2,4,,,,32,29,F,10,20,N,29,
2022,164892479,149448077,1,1,,,,104,NS,X,99,50,,,
2022,167103270,151396744,1,4,,,,45,42,F,10,20,R,42,
2022,170952089,154759299,1,1,,,,104,NS,X,99,50,,,
2022,167103284,151396758,1,1,,,,104,NS,X,99,50,,,
2022,168103099,152269452,1,4,,,,57,54,M,10,20,R,54,
2022,169632575,153608306,1,4,,,,50,47,F,10,20,R,47,
2022,170952101,154759311,1,5,7,9,,30,27,M,10,20,R,27,
2022,170952102,154759311,2,5,7,9,,35,32,M,10,20,R,32,
2022,170952103,154759311,3,5,7,9,,44,41,M,10,20,R,41,
2022,167103279,151396753,1,1,,,,104,NS,X,99,50,,,
2022,167103282,151396756,1,4,,,,65,62,M,10,20,N,62,
2022,164892518,149448110,1,4,,,,79,76,M,10,50,R,76,
2022,182816880,165125827,1,8,,,,104,NS,X,99,50,,,
2022,167103288,151396762,1,1,,,,104,NS,X,99,50,,,
2022,167103289,151396763,1,4,,,,53,50,M,10,20,R,50,
2022,167103291,151396765,1,3,,,,104,NS,X,99,50,,,
2022,167103271,151396745,1,1,,,,104,NS,X,99,50,,,
2022,168103100,152269453,1,1,,,,104,NS,X,99,50,,,
2022,167103275,151396749,1,1,,,,104,NS,X,99,50,,,
2022,167103335,151396805,1,4,,,,19,16,F,10,40,U,16,
2022,170951856,154759077,1,8,,,,104,NS,X,99,50,,,
2022,167103349,151396819,1,4,,,,61,58,F,10,20,N,58,
2022,168103088,152269441,1,4,,,,10,07,F,10,50,R,07,
2022,168103089,152269442,1,1,,,,104,NS,X,99,50,,,
2022,168103090,152269443,1,8,,,,104,NS,X,99,50,,,
2022,182816881,165125828,1,4,,,,81,78,M,10,20,R,78,
2022,168103091,152269444,1,8,,,,104,NS,X,99,50,,,
2022,168103092,152269445,1,1,,,,104,NS,X,99,50,,,
2022,170951862,154759083,1,4,,,,61,58,M,10,20,R,58,
2022,168103094,152269447,1,4,,,,55,52,F,10,20,R,52,
2022,182816882,165125829,1,1,,,,104,NS,X,99,50,,,
2022,170951866,154759087,1,4,,,,15,12,M,10,50,R,12,
2022,169632586,153608316,1,4,,,,33,30,M,10,20,R,30,
2022,168103096,152269449,1,3,,,,104,NS,X,99,50,,,
2022,168103108,152269461,1,4,,,,40,37,F,10,20,R,37,
2022,170951870,154759091,1,4,,,,7,04,F,10,50,R,04,
2022,169632596,153608325,1,1,,,,104,NS,X,99,50,,,
2022,172872913,156439608,1,4,,,,23,20,M,10,20,R,20,
2022,182816884,165125831,1,1,,,,104,NS,X,99,50,,,
2022,169632696,153608419,1,4,,,,38,35,F,10,20,R,35,
2022,170952093,154759304,1,4,,,,34,31,M,10,20,R,31,
2022,169632698,153608421,1,4,,,,72,69,M,10,20,R,69,
2022,170952105,154759313,1,1,,,,104,NS,X,99,50,,,
2022,169632707,153608430,1,1,,,,104,NS,X,99,50,,,
2022,169632717,153608438,1,4,,,,41,38,F,10,20,R,38,
2022,169632718,153608438,2,4,,,,19,16,F,98,40,R,16,
2022,169632719,153608438,3,4,,,,14,11,F,98,40,R,11,
2022,169632721,153608440,1,4,,,,56,53,F,10,20,R,53,
2022,169632708,153608431,1,4,,,,41,38,F,10,20,R,38,
2022,169632709,153608431,2,4,,,,19,16,F,98,40,R,16,
2022,169632710,153608431,3,4,,,,14,11,F,98,40,R,11,
2022,169632715,153608436,1,1,,,,104,NS,X,99,50,,,
2022,180759009,163316668,1,4,,,,54,51,M,10,20,R,51,
2022,180759010,163316668,2,4,,,,23,20,M,10,20,R,20,
2022,180759011,163316668,3,1,,,,104,NS,X,99,50,,,
2022,169632726,153608445,1,4,,,,45,42,M,10,20,R,42,
2022,172872924,156439618,1,1,,,,104,NS,X,99,50,,,
2022,174463308,157824736,1,4,,,,39,36,F,10,20,R,36,
2022,172872931,156439623,1,4,,,,31,28,M,10,20,N,28,
2022,172872932,156439623,2,8,,,,104,NS,X,99,50,,,
2022,169632617,153608345,1,4,,,,30,27,F,10,20,N,27,
2022,170952115,154759323,1,4,,,,92,89,F,10,20,R,89,
2022,186959291,168740340,1,4,,,,23,20,M,10,20,R,20,
2022,186959292,168740340,2,4,,,,23,20,M,10,20,R,20,
2022,170951885,154759106,1,4,,,,22,19,F,98,40,R,19,
2022,172872916,156439611,1,4,,,,44,41,F,10,20,R,41,
2022,170951890,154759111,1,4,,,,23,20,M,10,20,R,20,
2022,170951875,154759096,1,1,,,,104,NS,X,99,50,,,
2022,170951878,154759099,1,1,,,,104,NS,X,99,50,,,
2022,176074588,159229571,1,4,,,,50,47,F,10,20,N,47,
2022,176074589,159229571,2,4,,,,71,68,M,10,20,R,68,
2022,170951880,154759101,1,4,,,,34,31,F,10,20,N,31,
2022,176074594,159229576,1,1,,,,104,NS,X,99,50,,,
2022,172872927,156439620,1,4,,,,35,32,F,20,20,R,32,
2022,172872928,156439620,2,4,,,,62,59,F,10,20,R,59,
2022,172872930,156439622,1,4,,,,66,63,F,10,20,N,63,
2022,172872936,156439627,1,1,,,,104,NS,X,99,50,,,
2022,182816883,165125830,1,1,,,,104,NS,X,99,50,,,
2022,182816887,165125833,1,1,,,,104,NS,X,99,50,,,
2022,170951884,154759105,1,1,,,,104,NS,X,99,50,,,
2022,172872944,156439634,1,4,,,,61,58,F,10,20,R,58,
2022,172872950,156439640,1,4,,,,66,63,M,10,20,R,63,
2022,172872956,156439645,1,4,,,,24,21,F,10,20,R,21,
2022,176074604,159229585,1,1,,,,104,NS,X,99,50,,,
2022,172872967,156439654,1,1,,,,104,NS,X,99,50,,,
2022,172872972,156439659,1,4,,,,29,26,M,10,50,R,26,
2022,176074613,159229593,1,4,,,,20,17,M,10,20,R,17,
2022,176074619,159229598,1,4,,,,94,91,F,10,20,R,91,
