yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
204982022,20498,2022,VT0010000,VT0010000,,N,N,,I,ADDISON,ADDISON CO SO MIDDLEBURY,Addison,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,County,0,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,8,0,8,0,1,1,0,0,1993-01-01,2004-01-01,2006-10-01,2013-03-01,2017-02-01,2017-02-01,N,ADDISON,Not Specified,Y,Y,Y
204992022,20499,2022,VT0010100,VT0010100,,N,N,,I,BRISTOL,BRISTOL PD,Bristol,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,3730,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,3,0,3,0,0,0,0.8,0.8,1993-01-01,2005-11-01,2010-08-01,2012-11-01,2017-03-01,2017-03-01,N,ADDISON,Not Specified,Y,Y,Y
205002022,20500,2022,VT0010200,VT0010200,,N,N,,I,MIDDLEBURY,MIDDLEBURY PD,Middlebury,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,9037,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,12,0,12,1,3,4,1.4,1.8,1993-01-01,2006-01-01,2006-01-01,2012-11-01,,,N,ADDISON,Not Specified,Y,Y,Y
205012022,20501,2022,VT0010300,VT0010300,,N,N,,I,VERGENNES,VERGENNES PD,Vergennes,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,2565,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,6,0,6,1,0,1,2.7,2.7,1993-01-01,2004-01-01,2005-09-01,2012-10-01,2017-02-01,2017-02-01,N,ADDISON,Not Specified,Y,Y,Y
205022022,20502,2022,VT0020000,VT0020000,,N,N,,I,BENNINGTON,BENNINGTON CO SO BENNINGTON,Bennington,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,County,0,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,4,0,4,0,3,3,0,0,1993-01-01,2001-01-01,2001-01-01,2012-11-01,,,N,BENNINGTON,Not Specified,Y,Y,Y
205032022,20503,2022,VT0020100,VT0020100,,N,N,,I,BENNINGTON,BENNINGTON PD,Bennington,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,15301,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,19,2,21,1,8,9,1.3,2.0,1993-01-01,1998-01-01,2005-09-01,2012-10-01,2017-02-01,2017-02-01,N,BENNINGTON,Not Specified,Y,Y,Y
205052022,20505,2022,VT0020400,VT0020400,,N,N,,I,MANCHESTER,MANCHESTER PD MANCHESTER CENTER,Manchester,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,4499,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,2,10,1,2,3,2.0,2.9,1993-01-01,1998-01-01,1998-01-01,2012-11-01,,,N,BENNINGTON,Not Specified,Y,Y,Y
205072022,20507,2022,VT0020800,VT0020800,,N,N,,I,WINHALL,WINHALL PD BONDVILLE,Winhall,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,1180,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,8,0,8,0,1,1,6.8,7.6,1993-01-01,2001-01-01,2001-01-01,2012-10-01,2019-05-01,2019-05-01,N,BENNINGTON,Not Specified,Y,Y,Y
205082022,20508,2022,VT0030000,VT0030000,,N,N,,I,CALEDONIA,CALEDONIA CO SO ST JOHNSBURY,Caledonia,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,County,0,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,16,8D,"Non-MSA counties under 10,000",8,Non-MSA Counties,N,16,,Y,4,0,4,1,1,2,0,0,1993-01-01,2004-01-01,2004-01-01,2013-02-01,,,N,CALEDONIA,Not Specified,Y,Y,Y
205092022,20509,2022,VT0030100,VT0030100,,N,N,,I,HARDWICK,HARDWICK PD,Hardwick,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,2997,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,5,0,5,0,0,0,1.7,1.7,1993-01-01,2001-01-01,2001-01-01,2012-10-01,,,N,CALEDONIA,Not Specified,Y,Y,Y
205102022,20510,2022,VT0030200,VT0030200,,N,N,,I,LYNDONVILLE,LYNDONVILLE PD,Lyndonville,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,1200,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,Y,2,0,2,0,0,0,1.7,1.7,1993-01-01,2005-08-01,2005-08-01,2012-10-01,,,N,CALEDONIA,Not Specified,Y,Y,Y
205112022,20511,2022,VT0030300,VT0030300,,N,N,,I,ST. JOHNSBURY,ST JOHNSBURY PD,St. Johnsbury,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,7404,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,8,3,11,1,3,4,1.2,2.0,1993-01-01,1995-04-01,2005-09-01,2012-10-01,2017-08-01,2017-08-01,N,CALEDONIA,Not Specified,Y,Y,Y
205122022,20512,2022,VT0040000,VT0040000,,N,N,,I,CHITTENDEN,CHITTENDEN CO SO BURLINGTON,Chittenden,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,County,0,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,12,0,12,0,2,2,0,0,1993-01-01,2004-07-01,2004-07-01,2013-07-01,,,N,CHITTENDEN,"Burlington-South Burlington, VT",Y,Y,Y
205132022,20513,2022,VT0040100,VT0040100,,N,N,,I,BURLINGTON,BURLINGTON PD,Burlington,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,44689,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,51,10,61,11,14,25,1.4,1.9,1993-01-01,2003-01-01,2003-01-01,2013-04-01,,,N,CHITTENDEN,"Burlington-South Burlington, VT",Y,Y,Y
205142022,20514,2022,VT0040200,VT0040200,,N,N,,I,ESSEX,ESSEX PD,Essex,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,22481,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,3,27,2,4,6,1.2,1.5,1993-01-01,1998-01-01,2005-09-01,2012-10-01,2017-01-01,2017-01-01,N,CHITTENDEN,"Burlington-South Burlington, VT",Y,Y,Y
205152022,20515,2022,VT0040300,VT0040300,,N,N,,I,SOUTH BURLINGTON,SOUTH BURLINGTON PD,South Burlington,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,20307,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,N,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,28,2,30,5,10,15,1.6,2.2,1993-01-01,1998-01-01,1998-01-01,2013-02-01,,,N,CHITTENDEN,"Burlington-South Burlington, VT",Y,Y,Y
205162022,20516,2022,VT0040400,VT0040400,,N,N,,I,WINOOSKI,WINOOSKI PD,Winooski,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,8647,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,14,1,15,1,3,4,1.7,2.2,1993-01-01,2001-01-01,2001-01-01,2012-10-01,,,N,CHITTENDEN,"Burlington-South Burlington, VT",Y,Y,Y
205172022,20517,2022,VT0040500,VT0040500,,N,N,,I,COLCHESTER,COLCHESTER PD,Colchester,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,17710,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,24,5,29,4,4,8,1.6,2.1,1993-01-01,1994-01-01,1994-01-01,2012-10-01,,,N,CHITTENDEN,"Burlington-South Burlington, VT",Y,Y,Y
205182022,20518,2022,VT0040600,VT0040600,,N,N,,I,MILTON,MILTON PD,Milton,,A,52,Vermont,VT,VT,1,New England,1,Northeast,Region I,City,10656,23397,VTUCR0001,Department of Public Safety Vermont Criminal Information Center,Y,9,5,"Cities from 10,000 thru 24,999",5,"Cities from 10,000 thru 24,999",N,9,,Y,15,0,15,2,1,3,1.6,1.7,1993-01-01,1993-09-01,1993-09-01,2012-10-01,,,N,CHITTENDEN,"Burlington-South Burlington, VT",Y,Y,Y
